number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
33,0.4340496087719338,0.44958568632423096,2025-01-31 05:32:55.986967,2025-01-31 07:06:29.843184,0 days 01:33:33.856217,128,0.9,0.0003408402766903347,96,1,COMPLETE
34,0.41503168925545963,0.4486017682357642,2025-01-31 07:06:29.849562,2025-01-31 07:31:41.952683,0 days 00:25:12.103121,128,0.9,0.0004411821615567962,54,2,COMPLETE
35,0.35585023250246905,0.4866369292076813,2025-01-31 07:31:41.959093,2025-01-31 07:44:04.466033,0 days 00:12:22.506940,128,0.75,0.0006224999346942785,25,3,COMPLETE
36,0.18746343952063577,0.7270319863482089,2025-01-31 07:44:04.469156,2025-01-31 08:50:02.417934,0 days 01:05:57.948778,256,0.2,0.00035495752259606867,41,4,COMPLETE
37,0.43376509613526837,0.4496985664817553,2025-01-31 08:50:02.423226,2025-01-31 09:17:23.938576,0 days 00:27:21.515350,128,0.85,0.000823748379430556,52,1,COMPLETE
38,0.1598157630373039,0.5926064587161637,2025-01-31 09:17:23.945074,2025-01-31 11:13:43.006904,0 days 01:56:19.061830,256,0.1,0.0002763431118941944,70,2,COMPLETE
39,0.19763287188181455,0.590307055523812,2025-01-31 11:13:43.012943,2025-01-31 11:34:42.054701,0 days 00:20:59.041758,256,0.75,0.0007056832807526975,31,4,COMPLETE
40,0.42446032216567353,0.45595700472401984,2025-01-31 11:34:42.061917,2025-01-31 11:48:21.303637,0 days 00:13:39.241720,256,0.9,0.000288310459956449,8,1,COMPLETE
41,0.4041797319818322,0.45002758379283414,2025-01-31 11:48:21.305866,2025-01-31 13:02:40.724763,0 days 01:14:19.418897,256,0.95,0.00033972566947236554,95,2,COMPLETE
42,0.2932902587015106,0.5073149624908225,2025-01-31 13:02:40.730628,2025-01-31 15:40:34.024752,0 days 02:37:53.294124,256,0.25,0.00019831923580194288,95,2,COMPLETE
43,0.37739381737157174,0.4773344774327458,2025-01-31 15:40:34.031714,2025-01-31 17:28:16.864678,0 days 01:47:42.832964,128,0.9,0.00010969031571821337,85,1,COMPLETE
44,0.4111724273142635,0.447315353031272,2025-01-31 17:28:16.871009,2025-01-31 18:29:45.895520,0 days 01:01:29.024511,256,0.4,0.0008742426632267684,92,2,COMPLETE
45,0.13141147088097566,0.701596119165264,2025-01-31 18:29:45.902114,2025-01-31 20:52:32.969485,0 days 02:22:47.067371,256,0.55,0.0003965045389815833,96,5,COMPLETE
46,0.3136019077301916,0.493038622081008,2025-01-31 20:52:32.976106,2025-01-31 21:25:21.893336,0 days 00:32:48.917230,256,0.8,0.0005553146280826657,76,3,COMPLETE
47,0.3678808756270987,0.478102553635486,2025-01-31 21:25:21.899246,2025-01-31 21:33:15.621372,0 days 00:07:53.722126,128,0.95,0.00030851683168054935,11,2,COMPLETE
48,0.43288076297375433,0.4491496440367251,2025-01-31 21:33:15.624936,2025-01-31 23:15:05.733684,0 days 01:41:50.108748,256,0.85,0.0006656665669601134,100,1,COMPLETE
49,0.1196198162377865,0.7698060030748753,2025-01-31 23:15:05.740501,2025-02-01 01:07:56.213660,0 days 01:52:50.473159,256,0.65,0.00022223502659026188,83,5,COMPLETE
