number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
30,0.4650429298291138,0.44316871175376055,2025-01-07 16:37:10.598193,2025-01-07 17:19:38.291124,0 days 00:42:27.692931,16,0.05,0.20034305914846146,0.000613592563899504,3,1800,COMPLETE
31,0.5221609869454287,0.41050107077634823,2025-01-07 17:19:38.292209,2025-01-07 17:20:58.371923,0 days 00:01:20.079714,32,0.05,0.032233045694086554,0.0009478006990421137,3,1000,COMPLETE
32,0.5278479213276681,0.40842928789820043,2025-01-07 17:20:58.380224,2025-01-07 17:22:58.107742,0 days 00:01:59.727518,32,0.0,0.04066448433536021,0.0005722745875925819,3,1000,COMPLETE
33,0.5198146609895274,0.41002835682719574,2025-01-07 17:22:58.116162,2025-01-07 17:24:25.727883,0 days 00:01:27.611721,64,0.0,0.03908771429715092,0.0006187033005643531,3,1000,COMPLETE
34,0.5055298262337045,0.4207000234446639,2025-01-07 17:24:25.728704,2025-01-07 17:38:51.226137,0 days 00:14:25.497433,32,0.0,0.08452997755021197,0.0005834775011459507,3,1100,COMPLETE
35,0.5049325575702686,0.4209557805129799,2025-01-07 17:38:51.227256,2025-01-07 17:40:24.846869,0 days 00:01:33.619613,32,0.0,0.12332419895053032,0.0007206183632207226,3,1200,COMPLETE
36,0.5130327667808574,0.41347073988167915,2025-01-07 17:40:24.847783,2025-01-07 17:41:25.619064,0 days 00:01:00.771281,64,0.05,0.05571181555851218,0.0005010081895399163,3,900,COMPLETE
37,0.3577194471817856,0.9160950608705489,2025-01-07 17:41:25.633002,2025-01-07 17:42:23.404519,0 days 00:00:57.771517,32,0.4,0.02535268418756126,0.0007558192201886891,3,1600,COMPLETE
38,0.2520317811311616,0.6037539807138256,2025-01-07 17:42:23.411641,2025-01-07 17:43:00.331302,0 days 00:00:36.919661,64,0.5,0.33395472101551515,0.00043806627284216957,3,1300,COMPLETE
39,0.4625006225192651,0.4537576852694847,2025-01-07 17:43:00.336507,2025-01-07 18:22:58.492967,0 days 00:39:58.156460,16,0.05,0.27696334881746,0.000990932735462932,3,1000,COMPLETE
40,0.37868155989603786,0.5021315739203193,2025-01-07 18:22:58.493982,2025-01-07 18:23:50.781163,0 days 00:00:52.287181,32,0.15000000000000002,0.23301020552213123,0.00037692025385515943,3,700,COMPLETE
41,0.5145324258962551,0.41505066519377404,2025-01-07 18:23:50.788194,2025-01-07 18:25:01.543423,0 days 00:01:10.755229,64,0.0,0.04125152933727522,0.0002998142814680526,3,1000,COMPLETE
42,0.4964989585486609,0.42408762882859563,2025-01-07 18:25:01.544230,2025-01-07 18:26:37.267868,0 days 00:01:35.723638,32,0.0,0.13914559489441922,0.0005384380517054497,3,1200,COMPLETE
43,0.5100033037125002,0.4188804671435588,2025-01-07 18:26:37.268872,2025-01-07 18:28:01.968122,0 days 00:01:24.699250,128,0.0,0.18725268292080308,0.0006916978129975354,3,1500,COMPLETE
44,0.49613031368505006,0.4275668906819437,2025-01-07 18:28:01.969124,2025-01-07 18:29:26.443180,0 days 00:01:24.474056,64,0.05,0.2525060737719895,0.0008773433974880109,3,800,COMPLETE
45,0.45789615101709397,0.47405986825153523,2025-01-07 18:29:26.444125,2025-01-07 18:30:38.780345,0 days 00:01:12.336220,32,0.2,0.06881068764633619,0.00040700850448852527,3,2000,COMPLETE
46,0.3933380996858858,0.5276813256656746,2025-01-07 18:30:38.795627,2025-01-07 18:31:46.707511,0 days 00:01:07.911884,16,0.25,0.08892333140879585,0.000323038987076896,3,1100,COMPLETE
47,0.4782568771316621,0.4279533613853337,2025-01-07 18:31:46.714888,2025-01-07 18:32:48.427452,0 days 00:01:01.712564,128,0.0,0.14217831150629426,0.00047913352120955763,1,1800,COMPLETE
48,0.4796951425756726,0.43564352403241297,2025-01-07 18:32:48.430639,2025-01-07 18:34:18.861899,0 days 00:01:30.431260,32,0.1,0.17812138197814825,0.0006288915391338975,3,700,COMPLETE
49,0.3212987318706086,0.9338152212623282,2025-01-07 18:34:18.862858,2025-01-07 18:35:08.685350,0 days 00:00:49.822492,32,0.4,0.22107309701278915,0.0008179661673415011,3,800,COMPLETE
50,0.4989189321700742,0.42555921133123686,2025-01-07 18:35:08.686357,2025-01-07 18:36:26.659262,0 days 00:01:17.972905,128,0.05,0.2646684132433417,0.000556716469002545,3,1000,COMPLETE
51,0.4799450777258116,0.4343355901686944,2025-01-07 18:36:26.673319,2025-01-07 18:38:37.952486,0 days 00:02:11.279167,32,0.0,0.30533530305130696,0.0003976066101847464,1,1300,COMPLETE
52,0.5183676313598397,0.41915385399898336,2025-01-07 18:38:37.956063,2025-01-07 18:40:26.314934,0 days 00:01:48.358871,32,0.1,0.015031153584521034,0.00026177063422584506,3,1700,COMPLETE
53,0.5024446789117143,0.42204214708782867,2025-01-07 18:40:26.316092,2025-01-07 18:42:11.098941,0 days 00:01:44.782849,32,0.0,0.15856124686212902,0.00033375099773222047,2,1100,COMPLETE
54,0.4778711567345475,0.4400900650402676,2025-01-07 18:42:11.101044,2025-01-07 18:44:33.236264,0 days 00:02:22.135220,64,0.05,0.387073686253974,0.0006512028122881566,3,600,COMPLETE
55,0.5253464210500375,0.42319620279864073,2025-01-07 18:44:33.237119,2025-01-07 18:46:25.307985,0 days 00:01:52.070866,16,0.1,0.0012763159469652008,0.0005188712592019676,2,900,COMPLETE
56,0.4139832610411481,0.618057173049519,2025-01-07 18:46:25.308694,2025-01-07 18:47:39.245855,0 days 00:01:13.937161,16,0.30000000000000004,0.02330174574229149,0.0005054802902679431,3,1200,COMPLETE
57,0.4943671760925172,0.425032352919765,2025-01-07 18:47:39.246938,2025-01-07 18:48:40.505293,0 days 00:01:01.258355,128,0.0,0.1846108011569574,0.0004662129328020087,2,900,COMPLETE
58,0.4985902458552006,0.4242581565664375,2025-01-07 18:48:40.506193,2025-01-07 18:49:57.178849,0 days 00:01:16.672656,32,0.05,0.05408418870987672,0.0005434830126367486,1,1400,COMPLETE
59,0.49473500952343913,0.4346504283737551,2025-01-07 18:49:57.179589,2025-01-07 18:51:28.030563,0 days 00:01:30.850974,32,0.15000000000000002,0.10902838173999427,0.00020820183275846893,3,800,COMPLETE
60,0.4432804394302159,0.457278173596667,2025-01-07 18:51:28.031518,2025-01-07 18:52:32.770743,0 days 00:01:04.739225,32,0.4,0.0022326962739981915,0.00018017562410682614,3,1000,COMPLETE
61,0.34465096922630845,0.4973634835248332,2025-01-07 18:52:32.778321,2025-01-07 18:53:29.169563,0 days 00:00:56.391242,32,0.35000000000000003,0.14528476671116974,0.00011195180543435217,3,1900,COMPLETE
62,0.5055803695037685,0.4179978850038394,2025-01-07 18:53:29.174532,2025-01-07 18:55:42.747253,0 days 00:02:13.572721,16,0.0,0.1269417814022995,0.0006701332855523917,2,900,COMPLETE
63,0.49960245177375384,0.4263983130914106,2025-01-07 18:55:42.748123,2025-01-07 18:58:18.235930,0 days 00:02:35.487807,32,0.1,0.0955934231433038,0.00013707834500049755,3,200,COMPLETE
64,0.48416912071358864,0.4259834781763364,2025-01-07 18:58:18.236779,2025-01-07 18:59:11.701655,0 days 00:00:53.464876,128,0.05,0.08348994737688438,0.00022111722355851274,1,1100,COMPLETE
65,0.43328736535410217,0.45781388672736806,2025-01-07 18:59:11.705845,2025-01-07 19:00:03.875304,0 days 00:00:52.169459,32,0.25,0.11575283417603247,0.00024170503195740256,2,1200,COMPLETE
66,0.5236178801571899,0.4122824636403353,2025-01-07 19:00:03.880246,2025-01-07 19:01:47.252853,0 days 00:01:43.372607,64,0.1,0.034249871533177066,0.00014843400795504436,3,500,COMPLETE
67,0.5253688701051484,0.4113580168368836,2025-01-07 19:01:47.253881,2025-01-07 19:02:43.605081,0 days 00:00:56.351200,64,0.0,0.031150289051233016,0.0007479562587287679,3,500,COMPLETE
68,0.5001909898958091,0.4244745289368404,2025-01-07 19:02:43.606172,2025-01-07 19:04:38.834456,0 days 00:01:55.228284,32,0.0,0.16981482041895268,0.0005792646932135847,3,400,COMPLETE
69,0.44571711954605214,0.4426704621413552,2025-01-07 19:04:38.835450,2025-01-07 19:05:32.252454,0 days 00:00:53.417004,32,0.45,0.07307421202156847,0.0003542040610591395,1,500,COMPLETE
70,0.32457227627515806,0.5141866545857583,2025-01-07 19:05:32.255354,2025-01-07 19:06:08.338956,0 days 00:00:36.083602,64,0.30000000000000004,0.15392418108894598,0.0007614104537597506,3,200,COMPLETE
71,0.5156747749929755,0.4218942105797711,2025-01-07 19:06:08.344517,2025-01-07 19:08:09.274965,0 days 00:02:00.930448,16,0.1,0.008676104055454173,0.0001437305511409237,3,900,COMPLETE
