number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
33,0.5124577503887747,0.4141229612283028,2024-12-11 18:21:31.999558,2024-12-11 18:22:58.222784,0 days 00:01:26.223226,16,0.05,0.0005864208855851362,2,400,COMPLETE
34,0.42536091660898573,0.4968898015055133,2024-12-11 18:22:58.232364,2024-12-11 18:23:31.251215,0 days 00:00:33.018851,16,0.5,0.0008588478098731938,1,800,COMPLETE
35,0.4480556063555269,0.44370814178704343,2024-12-11 18:23:31.252076,2024-12-11 18:24:01.423155,0 days 00:00:30.171079,128,0.0,0.0003473491943411577,1,200,COMPLETE
36,0.5128303616508726,0.42094253814284066,2024-12-11 18:24:01.428364,2024-12-11 18:25:23.675537,0 days 00:01:22.247173,16,0.1,0.00039703203503484586,3,600,COMPLETE
37,0.4961309780035578,0.42527688806377373,2024-12-11 18:25:23.676528,2024-12-11 18:26:01.773771,0 days 00:00:38.097243,32,0.0,0.0005347455659448355,2,400,COMPLETE
38,0.4853844786501994,0.4293858605377571,2024-12-11 18:26:01.774636,2024-12-11 18:26:37.515864,0 days 00:00:35.741228,128,0.05,0.0002835654286557469,2,1500,COMPLETE
39,0.5197881341265236,0.41441370475748274,2024-12-11 18:26:37.520531,2024-12-11 18:27:37.093634,0 days 00:00:59.573103,16,0.0,0.0002057734778084489,3,900,COMPLETE
40,0.5351428537093763,0.4047377763762198,2024-12-11 18:27:37.100566,2024-12-11 18:29:18.759745,0 days 00:01:41.659179,16,0.05,0.0008898754409185812,2,200,COMPLETE
41,0.5277049303733651,0.4158887834430896,2024-12-11 18:29:18.760525,2024-12-11 18:30:18.650916,0 days 00:00:59.890391,16,0.05,0.0008715351470899832,2,700,COMPLETE
42,0.5282786338594837,0.4074236309422646,2024-12-11 18:30:18.660062,2024-12-11 18:32:06.103400,0 days 00:01:47.443338,16,0.0,0.0006754534055605512,2,1800,COMPLETE
43,0.4809405162561477,0.42845204847705975,2024-12-11 18:32:06.113825,2024-12-11 18:32:52.162922,0 days 00:00:46.049097,32,0.0,0.0001413232072044912,2,200,COMPLETE
44,0.4982106091676773,0.4217514935182525,2024-12-11 18:32:52.168116,2024-12-11 18:33:37.235310,0 days 00:00:45.067194,128,0.1,0.00027922608206417613,2,600,COMPLETE
45,0.45686995202296216,0.45693593066882715,2024-12-11 18:33:37.239283,2024-12-11 18:34:16.383762,0 days 00:00:39.144479,16,0.45,0.0007049351494420928,1,1500,COMPLETE
46,0.4882839848921391,0.4335386389204876,2024-12-11 18:34:16.390043,2024-12-11 18:34:59.497464,0 days 00:00:43.107421,64,0.15000000000000002,0.0004985962168970926,2,1800,COMPLETE
47,0.38760742191412567,0.5841358937586764,2024-12-11 18:34:59.507742,2024-12-11 18:35:41.947723,0 days 00:00:42.439981,16,0.30000000000000004,0.0005913336761651869,3,1100,COMPLETE
48,0.48827435745956793,0.42769456522290666,2024-12-11 18:35:41.956059,2024-12-11 18:36:14.360935,0 days 00:00:32.404876,32,0.0,0.0009199898895587109,2,100,COMPLETE
49,0.5211436541077494,0.4237313275893081,2024-12-11 18:36:14.369447,2024-12-11 18:37:24.261459,0 days 00:01:09.892012,16,0.1,0.0007178738086417264,2,300,COMPLETE
50,0.48474427250042806,0.4267110751453457,2024-12-11 18:37:24.269948,2024-12-11 18:38:06.102683,0 days 00:00:41.832735,128,0.0,0.00010219559783291003,2,900,COMPLETE
51,0.5343738725374907,0.40577777943679205,2024-12-11 18:38:06.103499,2024-12-11 18:39:34.802675,0 days 00:01:28.699176,16,0.05,0.000803289433690393,2,500,COMPLETE
52,0.5134859213809675,0.4145645719831209,2024-12-11 18:39:34.810965,2024-12-11 18:40:41.838557,0 days 00:01:07.027592,16,0.05,0.0009265889819924781,2,1700,COMPLETE
53,0.49634955108170226,0.4227194820467238,2024-12-11 18:40:41.839347,2024-12-11 18:41:15.280646,0 days 00:00:33.441299,64,0.0,0.000782860536757101,2,500,COMPLETE
54,0.3489941277452498,0.7192936648798758,2024-12-11 18:41:15.281444,2024-12-11 18:41:44.992928,0 days 00:00:29.711484,16,0.35000000000000003,0.0009964831405485089,2,800,COMPLETE
55,0.530542552342621,0.40372403275750235,2024-12-11 18:41:45.002957,2024-12-11 18:43:05.187668,0 days 00:01:20.184711,16,0.05,0.0006249233540644879,2,700,COMPLETE
56,0.4593862359604647,0.4393926046627993,2024-12-11 18:43:05.196637,2024-12-11 18:43:42.429263,0 days 00:00:37.232626,16,0.05,0.00011965965953615201,1,700,COMPLETE
57,0.285230401580445,1.0184451867175208,2024-12-11 18:43:42.434917,2024-12-11 18:44:16.282309,0 days 00:00:33.847392,16,0.5,0.0006163628776592589,3,1000,COMPLETE
58,0.5084509387269893,0.416214723182941,2024-12-11 18:44:16.283163,2024-12-11 18:45:08.663341,0 days 00:00:52.380178,64,0.05,0.0007703960733401649,2,300,COMPLETE
59,0.24323529656250803,0.9496252597821033,2024-12-11 18:45:08.664092,2024-12-11 18:45:36.760584,0 days 00:00:28.096492,16,0.45,0.0008132521273111799,2,1300,COMPLETE
60,0.47361363164792386,0.4290551600265342,2024-12-11 18:45:36.767667,2024-12-11 18:46:10.514421,0 days 00:00:33.746754,128,0.0,0.0002272628626418506,2,600,COMPLETE
61,0.5339020685920504,0.3997371532480793,2024-12-11 18:46:10.518859,2024-12-11 18:48:10.058241,0 days 00:01:59.539382,16,0.0,0.0006440480808129294,2,400,COMPLETE
62,0.534089698959436,0.4024723624647285,2024-12-11 18:48:10.058947,2024-12-11 18:50:02.815984,0 days 00:01:52.757037,16,0.0,0.0005554438892479182,2,400,COMPLETE
63,0.5164604052783922,0.4138484900033039,2024-12-11 18:50:02.816709,2024-12-11 18:51:01.302846,0 days 00:00:58.486137,16,0.0,0.0005525674684212913,2,400,COMPLETE
64,0.4515839690553909,0.48479888178808883,2024-12-11 18:51:01.306840,2024-12-11 18:51:29.744570,0 days 00:00:28.437730,32,0.30000000000000004,0.0009171624490034039,2,500,COMPLETE
65,0.4555958818484667,0.44397428445251386,2024-12-11 18:51:29.753126,2024-12-11 18:52:05.682698,0 days 00:00:35.929572,16,0.0,0.00016527728305385634,1,300,COMPLETE
66,0.4258784887800579,0.4856417699791763,2024-12-11 18:52:05.688363,2024-12-11 18:52:30.450131,0 days 00:00:24.761768,64,0.35000000000000003,0.0007200319882018531,2,1200,COMPLETE
67,0.5247391016119111,0.4105511403173421,2024-12-11 18:52:30.459962,2024-12-11 18:53:34.280322,0 days 00:01:03.820360,16,0.05,0.0006524650051291156,3,100,COMPLETE
68,0.47948797241639535,0.4364093626968778,2024-12-11 18:53:34.286056,2024-12-11 18:54:11.790397,0 days 00:00:37.504341,16,0.25,0.00046764368995842634,2,200,COMPLETE
69,0.5049617597337588,0.4226098205817926,2024-12-11 18:54:11.791195,2024-12-11 18:54:59.081475,0 days 00:00:47.290280,32,0.1,0.0005648760483881784,2,400,COMPLETE
70,0.4371636789739293,0.47046746044874954,2024-12-11 18:54:59.090346,2024-12-11 18:55:28.397698,0 days 00:00:29.307352,16,0.4,0.000818102486056937,1,900,COMPLETE
71,0.5175508261434287,0.41189032766721106,2024-12-11 18:55:28.403706,2024-12-11 18:56:36.111935,0 days 00:01:07.708229,16,0.05,0.0006391116865851329,2,500,COMPLETE
72,0.516044700300658,0.41662982130228554,2024-12-11 18:56:36.112624,2024-12-11 18:57:23.212647,0 days 00:00:47.100023,16,0.0,0.0005068500972806227,2,1400,COMPLETE
