number,values_0,values_1,datetime_start,datetime_complete,duration,params_Activation,params_amount_heads,params_attn_dropout,params_batch_norm,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_loss,params_lr,params_lr_patience,params_n_layers,params_neurons,params_transformer_depth,params_weight_decay,state
0,0.005385020390059265,2.4013263786183576,2024-12-04 14:20:04.545791,2024-12-04 14:20:40.805099,0 days 00:00:36.259308,Swish,1,0.1,0,256,0.25,256,0.05,84,1,L1,0.021457574954253076,7,4,300,1,1.7006611142355824e-08,COMPLETE
1,0.010029089522351733,1.4120678531329875,2024-12-04 14:20:40.806209,2024-12-04 14:21:52.059909,0 days 00:01:11.253700,Swish,1,0.15000000000000002,1,256,0.30000000000000004,204,0.5,92,0,L1,0.0028825150858773317,5,1,500,2,1.7097467583625016e-07,COMPLETE
