number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
26,0.46275538206100464,0.4388830065727234,2025-01-18 16:48:09.389242,2025-01-18 17:03:42.668219,0 days 00:15:33.278977,3,0.45,32,0.4,177,0.1,119,0,0.0003118911573822915,2,100,4,COMPLETE
27,0.4658955931663513,0.4336441159248352,2025-01-18 17:03:42.669366,2025-01-18 17:16:25.068820,0 days 00:12:42.399454,5,0.1,32,0.5,209,0.4,57,1,0.00021560946833170907,1,800,2,COMPLETE
28,0.4677998125553131,0.4313095510005951,2025-01-18 17:16:25.069826,2025-01-18 17:32:19.225050,0 days 00:15:54.155224,4,0.2,64,0.25,233,0.30000000000000004,81,0,0.0008815951042807807,3,400,3,COMPLETE
29,0.4404592514038086,0.44770869612693787,2025-01-18 17:32:19.225936,2025-01-18 17:52:51.862080,0 days 00:20:32.636144,2,0.05,128,0.15000000000000002,183,0.2,109,1,0.00022413943199712307,2,1100,5,COMPLETE
30,0.45715251564979553,0.44308575987815857,2025-01-18 17:52:51.862984,2025-01-18 18:12:03.294101,0 days 00:19:11.431117,3,0.0,32,0.05,267,0.1,93,0,0.00045977485394272814,2,500,4,COMPLETE
31,0.4658181667327881,0.43572646379470825,2025-01-18 18:12:03.295371,2025-01-18 18:30:22.960437,0 days 00:18:19.665066,4,0.2,64,0.30000000000000004,234,0.30000000000000004,78,0,0.0003225418665706036,3,200,4,COMPLETE
32,0.4410863518714905,0.45120468735694885,2025-01-18 18:30:22.961302,2025-01-18 18:36:57.784836,0 days 00:06:34.823534,3,0.25,32,0.25,146,0.4,47,0,0.0008876901405388016,3,400,3,COMPLETE
33,0.4599546492099762,0.4396468698978424,2025-01-18 18:36:57.785755,2025-01-18 18:56:55.560414,0 days 00:19:57.774659,3,0.5,16,0.2,170,0.45,84,0,0.00010081118813677587,1,200,5,COMPLETE
34,0.4517880380153656,0.4379931390285492,2025-01-18 18:56:55.561447,2025-01-18 19:10:40.818797,0 days 00:13:45.257350,4,0.30000000000000004,32,0.35000000000000003,129,0.30000000000000004,97,1,0.00012889408110692999,2,400,3,COMPLETE
35,0.4526594281196594,0.4398699402809143,2025-01-18 19:10:40.819866,2025-01-18 19:28:13.261965,0 days 00:17:32.442099,4,0.4,16,0.25,198,0.2,101,0,0.00022470914197785172,3,500,4,COMPLETE
36,0.46551066637039185,0.4352564811706543,2025-01-18 19:28:13.263114,2025-01-18 20:00:29.237242,0 days 00:32:15.974128,5,0.35000000000000003,16,0.45,286,0.05,64,0,0.0001398331586619151,1,200,5,COMPLETE
