number,values_0,values_1,datetime_start,datetime_complete,duration,params_Activation,params_amount_heads,params_attn_dropout,params_batch_norm,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_loss,params_lr,params_lr_patience,params_n_layers,params_neurons,params_transformer_depth,params_weight_decay,state
0,0.01738606892211758,0.5029961357605796,2024-12-04 14:18:51.253268,2024-12-04 14:19:33.718179,0 days 00:00:42.464911,Leaky,1,0.5,0,16,0.15000000000000002,168,0.2,36,0,Huber,1.4362926909461016e-05,5,2,100,2,1.8472775862112463e-09,COMPLETE
1,,,2024-12-04 14:19:33.719623,2024-12-04 14:20:04.258543,0 days 00:00:30.538920,Swish,3,0.15000000000000002,1,208,0.30000000000000004,140,0.0,68,0,Huber,0.01424566511379794,10,5,700,1,4.867004514572288e-09,FAIL
