number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
29,0.12082265382176989,0.42884185910224915,2024-12-18 21:22:30.863539,2024-12-18 21:32:16.449465,0 days 00:09:45.585926,True,mean,32,5,0.4,0.2,900,1200,0.0006799397449962824,3,3,COMPLETE
30,0.10623204618497126,0.40836718678474426,2024-12-18 21:32:16.453358,2024-12-18 21:43:32.738371,0 days 00:11:16.285013,False,norm,64,3,0.15000000000000002,0.30000000000000004,700,1500,0.00048827311562289093,5,7,COMPLETE
31,0.13512611640530398,0.7493043541908264,2024-12-18 21:43:32.740221,2024-12-18 21:54:55.931182,0 days 00:11:23.190961,True,mean,64,5,0.35000000000000003,0.1,1000,2000,0.0007864404652467163,2,5,COMPLETE
32,0.008969692858704201,0.5957357287406921,2024-12-18 21:54:55.934289,2024-12-18 22:03:47.708849,0 days 00:08:51.774560,True,mean,32,5,0.30000000000000004,0.15000000000000002,1000,1800,0.0006877456622441321,3,5,COMPLETE
33,0.20342772549547686,0.39471572637557983,2024-12-18 22:03:47.711106,2024-12-18 22:10:53.100629,0 days 00:07:05.389523,True,norm,16,4,0.05,0.2,900,900,0.0004007416480585018,2,4,COMPLETE
34,0.3895273203095935,0.443063884973526,2024-12-18 22:10:53.102375,2024-12-18 22:18:52.259756,0 days 00:07:59.157381,True,mean,128,5,0.4,0.05,1000,1200,0.0005441903000173655,1,2,COMPLETE
35,0.4658269585056671,0.3439919948577881,2024-12-18 22:18:52.283687,2024-12-18 22:27:41.344173,0 days 00:08:49.060486,True,sum,64,4,0.45,0.25,900,400,0.0007918650057982726,2,6,COMPLETE
36,,,2024-12-18 22:27:41.374380,2024-12-18 22:34:50.461363,0 days 00:07:09.086983,False,sum,32,4,0.45,0.05,700,900,0.0004902785307102403,2,6,FAIL
37,,,2024-12-18 22:34:50.465815,2024-12-18 22:44:26.721111,0 days 00:09:36.255296,False,sum,32,4,0.45,0.05,700,500,0.000518566937930902,2,6,FAIL
38,,,2024-12-18 22:44:26.750677,2024-12-18 22:51:21.420794,0 days 00:06:54.670117,False,sum,32,4,0.45,0.05,700,900,0.0005172209566593911,2,6,FAIL
39,,,2024-12-18 22:51:21.423596,2024-12-18 22:58:27.164234,0 days 00:07:05.740638,False,sum,32,4,0.45,0.05,700,500,0.0003204379243421638,2,6,FAIL
40,,,2024-12-18 22:58:27.166823,2024-12-18 23:06:04.637150,0 days 00:07:37.470327,False,sum,32,4,0.45,0.05,700,500,0.0004848682348841301,2,6,FAIL
41,,,2024-12-18 23:06:04.668305,2024-12-18 23:17:34.765453,0 days 00:11:30.097148,False,sum,32,4,0.45,0.05,700,500,0.0005031309052943809,2,6,FAIL
42,,,2024-12-18 23:17:34.767250,2024-12-18 23:25:59.582574,0 days 00:08:24.815324,False,sum,32,4,0.45,0.05,700,900,0.0005248102758096806,2,6,FAIL
43,,,2024-12-18 23:25:59.584332,2024-12-18 23:33:57.086450,0 days 00:07:57.502118,False,sum,32,4,0.45,0.05,700,500,0.0005065401419350795,2,6,FAIL
44,,,2024-12-18 23:33:57.090562,2024-12-18 23:42:16.205805,0 days 00:08:19.115243,False,sum,32,4,0.45,0.05,700,900,0.0003825869577680702,2,6,FAIL
45,,,2024-12-18 23:42:16.209076,2024-12-18 23:50:03.074481,0 days 00:07:46.865405,False,sum,32,4,0.45,0.05,700,500,0.00038336600193590554,2,6,FAIL
46,,,2024-12-18 23:50:03.076989,2024-12-18 23:58:43.942517,0 days 00:08:40.865528,False,sum,32,4,0.45,0.05,700,500,0.0005212783238316195,2,6,FAIL
47,,,2024-12-18 23:58:43.967313,2024-12-19 00:08:58.592866,0 days 00:10:14.625553,False,sum,32,4,0.45,0.05,700,900,0.0005174200908595979,2,6,FAIL
48,,,2024-12-19 00:08:58.594708,2024-12-19 00:21:03.641745,0 days 00:12:05.047037,False,sum,32,4,0.45,0.05,700,500,0.0005038359821017512,2,6,FAIL
49,,,2024-12-19 00:21:03.667059,2024-12-19 00:28:03.137310,0 days 00:06:59.470251,False,sum,32,4,0.45,0.05,700,500,0.0004885514078423053,2,6,FAIL
50,,,2024-12-19 00:28:03.164566,2024-12-19 00:36:56.737989,0 days 00:08:53.573423,False,sum,32,4,0.45,0.05,700,900,0.00022497289725248134,2,6,FAIL
51,,,2024-12-19 00:36:56.740593,2024-12-19 00:44:30.384666,0 days 00:07:33.644073,False,sum,32,4,0.45,0.05,700,500,0.0005198890682871282,2,6,FAIL
52,,,2024-12-19 00:44:30.394489,2024-12-19 00:51:56.013418,0 days 00:07:25.618929,False,sum,32,4,0.45,0.05,700,500,0.00032815926161999283,2,6,FAIL
53,,,2024-12-19 00:51:56.033516,2024-12-19 00:59:50.674844,0 days 00:07:54.641328,False,sum,32,4,0.45,0.05,700,900,0.0005107180837744469,2,8,FAIL
54,,,2024-12-19 00:59:50.676934,2024-12-19 01:06:57.283837,0 days 00:07:06.606903,False,sum,32,4,0.45,0.05,700,500,0.00047717104851067457,2,8,FAIL
55,,,2024-12-19 01:06:57.287440,2024-12-19 01:16:03.888491,0 days 00:09:06.601051,False,sum,32,4,0.45,0.05,700,1000,0.0004925424505656529,2,6,FAIL
56,0.11844307418328452,0.5117601156234741,2024-12-19 01:16:03.891546,2024-12-19 01:25:21.287563,0 days 00:09:17.396017,False,sum,32,4,0.45,0.05,700,500,0.0004881684131244681,2,6,COMPLETE
57,0.288186255551781,0.5615986585617065,2024-12-19 01:25:21.291178,2024-12-19 01:36:33.356852,0 days 00:11:12.065674,True,mean,32,2,0.5,0.30000000000000004,900,900,0.0003179121258297635,1,8,COMPLETE
58,0.09774486183734615,0.39506280422210693,2024-12-19 01:36:33.359086,2024-12-19 01:47:04.448854,0 days 00:10:31.089768,True,norm,64,3,0.30000000000000004,0.15000000000000002,800,1100,0.00037622772490320704,3,3,COMPLETE
59,0.28609937888672926,0.6045668721199036,2024-12-19 01:47:04.460047,2024-12-19 01:59:43.390520,0 days 00:12:38.930473,True,norm,16,5,0.2,0.25,700,1400,0.00023309121099438483,1,2,COMPLETE
60,,,2024-12-19 01:59:43.394815,2024-12-19 02:10:58.975684,0 days 00:11:15.580869,False,sum,128,4,0.15000000000000002,0.1,900,500,0.00041977899664565114,2,8,FAIL
61,0.05629789340181233,5.8325910568237305,2024-12-19 02:10:58.979328,2024-12-19 02:23:44.170995,0 days 00:12:45.191667,False,sum,128,4,0.15000000000000002,0.1,900,1700,0.0004263545087690025,2,10,COMPLETE
62,0.5338134015365195,0.3044205904006958,2024-12-19 02:23:44.174573,2024-12-19 02:34:19.970547,0 days 00:10:35.795974,True,norm,64,3,0.4,0.2,600,600,0.0005323655715246858,2,3,COMPLETE
63,0.3859462388339947,0.3399927020072937,2024-12-19 02:34:19.996920,2024-12-19 02:46:12.760189,0 days 00:11:52.763269,False,norm,64,3,0.35000000000000003,0.2,500,500,0.0005386716097562904,5,2,COMPLETE
64,0.4401268541455253,0.36074692010879517,2024-12-19 02:46:12.791024,2024-12-19 02:56:39.626235,0 days 00:10:26.835211,True,norm,64,3,0.4,0.30000000000000004,400,400,0.0008028997305199838,1,3,COMPLETE
65,0.23145351335312733,0.36344996094703674,2024-12-19 02:56:39.628337,2024-12-19 03:04:26.845836,0 days 00:07:47.217499,False,norm,64,1,0.45,0.25,400,600,0.0006093054458500269,3,9,COMPLETE
66,0.2944093926900108,0.3665854334831238,2024-12-19 03:04:26.874101,2024-12-19 03:14:22.443846,0 days 00:09:55.569745,True,norm,64,2,0.35000000000000003,0.4,100,300,0.00021424717627195592,1,4,COMPLETE
