number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
29,0.3021013245750456,0.4404066294744425,2024-12-11 17:14:08.660427,2024-12-11 17:14:33.353440,0 days 00:00:24.693013,64,0.30000000000000004,0.0006359120521394756,1,1100,COMPLETE
30,0.32303532094373805,0.4167290358699732,2024-12-11 17:14:33.354288,2024-12-11 17:14:58.174545,0 days 00:00:24.820257,128,0.0,0.00035974596348197754,2,2000,COMPLETE
31,0.35990220054230865,0.3780928336052361,2024-12-11 17:14:58.178424,2024-12-11 17:15:30.921054,0 days 00:00:32.742630,64,0.0,0.0006712242093745746,3,1300,COMPLETE
32,0.24853205332782627,0.537539211668083,2024-12-11 17:15:30.921759,2024-12-11 17:15:55.080177,0 days 00:00:24.158418,64,0.4,0.0006558646311189486,3,1500,COMPLETE
33,0.3564486405453997,0.3935757354563524,2024-12-11 17:15:55.081078,2024-12-11 17:16:28.236600,0 days 00:00:33.155522,64,0.05,0.00034714394510668855,3,1000,COMPLETE
34,0.1748071322950315,0.7064771682122197,2024-12-11 17:16:28.237480,2024-12-11 17:16:48.959601,0 days 00:00:20.722121,128,0.5,0.0008810635708711558,3,1200,COMPLETE
35,0.3618201443373758,0.3982591862292557,2024-12-11 17:16:48.960353,2024-12-11 17:17:27.656097,0 days 00:00:38.695744,64,0.1,0.0005565339675790567,3,1400,COMPLETE
36,0.34692749061851746,0.42248565574372143,2024-12-11 17:17:27.656967,2024-12-11 17:17:59.793939,0 days 00:00:32.136972,64,0.2,0.0004301814756668939,3,1500,COMPLETE
37,0.32439808014950194,0.39772066214269985,2024-12-11 17:17:59.794814,2024-12-11 17:18:28.616199,0 days 00:00:28.821385,64,0.1,0.0005682278076185489,3,1200,COMPLETE
38,0.33756082498704043,0.4205910311135767,2024-12-11 17:18:28.617111,2024-12-11 17:18:55.738800,0 days 00:00:27.121689,64,0.25,0.00026936617464190624,3,1400,COMPLETE
39,0.30650602113585745,0.46821625144563706,2024-12-11 17:18:55.739726,2024-12-11 17:19:21.742228,0 days 00:00:26.002502,64,0.30000000000000004,0.0006658026382897692,3,1800,COMPLETE
40,0.2762929406359921,0.4765920786781466,2024-12-11 17:19:21.743015,2024-12-11 17:19:43.724867,0 days 00:00:21.981852,64,0.4,0.00045939887077214224,3,1600,COMPLETE
41,0.3463653654596792,0.37313744626906786,2024-12-11 17:19:43.725583,2024-12-11 17:20:18.852410,0 days 00:00:35.126827,64,0.0,0.0005081972887912356,3,1400,COMPLETE
42,0.33685342823763886,0.4052099645628899,2024-12-11 17:20:18.853350,2024-12-11 17:20:54.018823,0 days 00:00:35.165473,64,0.15000000000000002,0.0005527062372202922,3,1400,COMPLETE
43,0.3713608531573406,0.3781535637408372,2024-12-11 17:20:54.019753,2024-12-11 17:21:30.238111,0 days 00:00:36.218358,64,0.0,0.0003771249538032339,3,1700,COMPLETE
44,0.271683205425715,0.4915628577246677,2024-12-11 17:21:30.238868,2024-12-11 17:21:57.386835,0 days 00:00:27.147967,32,0.35000000000000003,0.0003725885684012784,3,1900,COMPLETE
45,0.3087892340311096,0.4301903197462719,2024-12-11 17:21:57.387869,2024-12-11 17:22:20.690824,0 days 00:00:23.302955,128,0.45,0.0003314371791137408,1,1700,COMPLETE
46,0.2905327298259759,0.4870842607325482,2024-12-11 17:22:20.695636,2024-12-11 17:22:50.352659,0 days 00:00:29.657023,32,0.35000000000000003,0.0003144242166795336,3,1900,COMPLETE
47,0.333780665955327,0.42842521741393497,2024-12-11 17:22:50.353582,2024-12-11 17:23:23.276330,0 days 00:00:32.922748,128,0.25,0.0003896425122508956,3,1700,COMPLETE
48,0.24888228821144504,0.49554382508685,2024-12-11 17:23:23.280439,2024-12-11 17:23:52.598407,0 days 00:00:29.317968,16,0.45,0.00027126861206364447,2,1800,COMPLETE
49,0.3104653199881161,0.433322093161816,2024-12-11 17:23:52.599300,2024-12-11 17:24:15.763895,0 days 00:00:23.164595,64,0.30000000000000004,0.00028904473213122746,1,1500,COMPLETE
50,0.3393378557496889,0.4151687571210981,2024-12-11 17:24:15.768493,2024-12-11 17:24:47.787415,0 days 00:00:32.018922,32,0.2,0.00014368524704665178,2,1900,COMPLETE
51,0.3350264215267794,0.39792508406278937,2024-12-11 17:24:47.791393,2024-12-11 17:25:09.091745,0 days 00:00:21.300352,64,0.0,0.00038882490660491334,3,600,COMPLETE
52,0.3293409135180487,0.40786015417650423,2024-12-11 17:25:09.092662,2024-12-11 17:25:36.703276,0 days 00:00:27.610614,64,0.1,0.00023965800291554906,3,1600,COMPLETE
53,0.351134153752802,0.3823535393068104,2024-12-11 17:25:36.704236,2024-12-11 17:26:20.567230,0 days 00:00:43.862994,16,0.0,0.00018544306310008295,3,1700,COMPLETE
54,0.3119569322820811,0.4220923763035951,2024-12-11 17:26:20.568256,2024-12-11 17:26:41.853397,0 days 00:00:21.285141,128,0.05,0.0003033943754058582,1,300,COMPLETE
55,0.3377107020645181,0.39811043224362963,2024-12-11 17:26:41.857666,2024-12-11 17:27:16.161212,0 days 00:00:34.303546,64,0.1,0.00032681788683641287,3,1800,COMPLETE
56,0.32114432716171093,0.4211265376088291,2024-12-11 17:27:16.162141,2024-12-11 17:27:44.700932,0 days 00:00:28.538791,32,0.0,0.00012031828645625513,2,2000,COMPLETE
57,0.3461078235812599,0.4122119252964434,2024-12-11 17:27:44.701723,2024-12-11 17:28:32.368982,0 days 00:00:47.667259,16,0.15000000000000002,0.00040416719522626493,3,1500,COMPLETE
58,0.3483891682855661,0.38688329070452354,2024-12-11 17:28:32.369945,2024-12-11 17:29:05.563776,0 days 00:00:33.193831,64,0.05,0.00043911293510116357,3,1200,COMPLETE
59,0.3544238287013338,0.4000502917603043,2024-12-11 17:29:05.564774,2024-12-11 17:29:30.791061,0 days 00:00:25.226287,64,0.0,0.00035706764334429947,3,1400,COMPLETE
60,0.31879136972118494,0.426860363066677,2024-12-11 17:29:30.791803,2024-12-11 17:29:57.811214,0 days 00:00:27.019411,128,0.5,0.00048315638571865184,1,1600,COMPLETE
61,0.35023248783626737,0.37493262865663046,2024-12-11 17:29:57.815736,2024-12-11 17:30:42.231363,0 days 00:00:44.415627,16,0.05,0.0005215979786939825,3,1000,COMPLETE
62,0.3107916308432056,0.40832925872335124,2024-12-11 17:30:42.232196,2024-12-11 17:31:01.985117,0 days 00:00:19.752921,64,0.0,0.00016716519673720754,2,500,COMPLETE
63,0.35901715897917297,0.38009766403809425,2024-12-11 17:31:01.990715,2024-12-11 17:31:44.115694,0 days 00:00:42.124979,16,0.05,0.00024781325019631445,3,800,COMPLETE
64,0.34706993121731955,0.3962735173357574,2024-12-11 17:31:44.116438,2024-12-11 17:32:09.468544,0 days 00:00:25.352106,64,0.0,0.0004107595219607751,3,1000,COMPLETE
65,0.35690755307130584,0.38615232306144737,2024-12-11 17:32:09.469284,2024-12-11 17:32:39.286908,0 days 00:00:29.817624,32,0.05,0.0005184541360369641,3,200,COMPLETE
66,0.28789723886468865,0.4446531433469062,2024-12-11 17:32:39.287767,2024-12-11 17:33:01.248476,0 days 00:00:21.960709,64,0.0,0.00034937343583076426,1,1900,COMPLETE
67,0.32716257916517244,0.41685461646261485,2024-12-11 17:33:01.249283,2024-12-11 17:33:29.113297,0 days 00:00:27.864014,64,0.05,0.00030211641668905637,2,1800,COMPLETE
68,0.33350449971642193,0.40469053212261025,2024-12-11 17:33:29.114118,2024-12-11 17:33:54.182810,0 days 00:00:25.068692,128,0.0,0.0004355654243034243,3,1300,COMPLETE
69,0.3447928240180907,0.40404453918513533,2024-12-11 17:33:54.192372,2024-12-11 17:34:33.788108,0 days 00:00:39.595736,64,0.1,0.00021912505024952064,3,1700,COMPLETE
70,0.3711422368073027,0.36523157759357294,2024-12-11 17:34:33.789025,2024-12-11 17:35:22.547118,0 days 00:00:48.758093,16,0.0,0.0006019371916784331,3,1400,COMPLETE
71,0.35491335839965193,0.36207298180669456,2024-12-11 17:35:22.548122,2024-12-11 17:36:15.336214,0 days 00:00:52.788092,16,0.0,0.0006138120220831496,3,1400,COMPLETE
72,0.36835263995916245,0.3577650618492643,2024-12-11 17:36:15.337159,2024-12-11 17:37:00.942559,0 days 00:00:45.605400,16,0.05,0.0006004563623218715,3,1400,COMPLETE
73,0.357651435161444,0.39338908676006257,2024-12-11 17:37:00.949270,2024-12-11 17:37:44.712931,0 days 00:00:43.763661,16,0.1,0.0005929087871090665,3,1300,COMPLETE
74,0.20192090246209196,0.7408795267676459,2024-12-11 17:37:44.717636,2024-12-11 17:38:07.918371,0 days 00:00:23.200735,16,0.45,0.00067694134980994,3,1100,COMPLETE
75,0.3522921902553567,0.3991448706131183,2024-12-11 17:38:07.919219,2024-12-11 17:38:47.754779,0 days 00:00:39.835560,16,0.1,0.0005975610095040518,2,1400,COMPLETE
76,0.35389523362530073,0.37010569561173157,2024-12-11 17:38:47.755665,2024-12-11 17:39:27.007629,0 days 00:00:39.251964,16,0.05,0.0007124943734848213,3,1200,COMPLETE
77,0.3449102629048708,0.3695977851534632,2024-12-11 17:39:27.008531,2024-12-11 17:40:01.265623,0 days 00:00:34.257092,16,0.05,0.0007268101038298469,3,1200,COMPLETE
78,0.3241288387636482,0.3944810448641348,2024-12-11 17:40:01.266537,2024-12-11 17:40:37.401616,0 days 00:00:36.135079,16,0.15000000000000002,0.0008326424883246853,3,1500,COMPLETE
79,0.327680465492255,0.42287174292034635,2024-12-11 17:40:37.402493,2024-12-11 17:41:05.466052,0 days 00:00:28.063559,16,0.35000000000000003,0.0006146769597216678,1,1300,COMPLETE
