number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
33,0.29716261193959037,0.4187328575774032,2025-01-31 00:22:38.972954,2025-01-31 00:48:28.185075,0 days 00:25:49.212121,128,0.9,0.0002641395890459131,66,2,COMPLETE
34,0.15922593834896248,0.5075339917913694,2025-01-31 00:48:28.192200,2025-01-31 01:29:58.457895,0 days 00:41:30.265695,128,0.1,0.0004410210885889458,43,4,COMPLETE
35,0.30735493488277754,0.418413584195447,2025-01-31 01:29:58.463545,2025-01-31 02:09:09.443318,0 days 00:39:10.979773,128,0.8,0.00036204499074944484,85,1,COMPLETE
36,0.3253000651660038,0.40639994880185687,2025-01-31 02:09:09.445610,2025-01-31 02:21:45.729784,0 days 00:12:36.284174,128,0.7000000000000001,0.000532504488014409,60,2,COMPLETE
37,0.3179918597000694,0.4074811792806214,2025-01-31 02:21:45.734731,2025-01-31 02:32:54.602795,0 days 00:11:08.868064,128,0.9,0.0005908648516057015,61,2,COMPLETE
38,0.30173045345436345,0.41228836496998833,2025-01-31 02:32:54.605983,2025-01-31 02:49:27.877338,0 days 00:16:33.271355,128,0.35,0.0005666589009160533,51,2,COMPLETE
39,0.22926815606812695,0.458810460108597,2025-01-31 02:49:27.879353,2025-01-31 03:07:19.525504,0 days 00:17:51.646151,128,0.9,0.0004887379972062563,62,4,COMPLETE
40,0.28471937404914305,0.4257727113473432,2025-01-31 03:07:19.528446,2025-01-31 03:16:16.298210,0 days 00:08:56.769764,128,0.7000000000000001,0.0004309421464858604,32,2,COMPLETE
41,0.274467416950215,0.4352481405327689,2025-01-31 03:16:16.303697,2025-01-31 03:36:42.616460,0 days 00:20:26.312763,128,0.5,0.0003541874451586278,61,3,COMPLETE
42,0.1810140079340103,0.49146711514539787,2025-01-31 03:36:42.624161,2025-01-31 04:05:42.848343,0 days 00:29:00.224182,128,0.8,0.00010269495309535015,46,4,COMPLETE
43,0.1641757738750743,0.5107127262480856,2025-01-31 04:05:42.855491,2025-01-31 04:58:37.394822,0 days 00:52:54.539331,128,0.2,0.00045387247455635783,73,5,COMPLETE
44,0.3060095843205507,0.4175336336954059,2025-01-31 04:58:37.397931,2025-01-31 05:35:49.822486,0 days 00:37:12.424555,128,0.75,0.0002829306002800751,67,1,COMPLETE
45,0.30717390949942847,0.4142792589624153,2025-01-31 05:35:49.824352,2025-01-31 06:11:16.487553,0 days 00:35:26.663201,256,0.85,0.00021401162085201981,59,2,COMPLETE
46,0.2239452189771264,0.45756946940529025,2025-01-31 06:11:16.493611,2025-01-31 06:25:41.698289,0 days 00:14:25.204678,128,0.30000000000000004,0.0005305228403198383,31,3,COMPLETE
47,0.29853949267746105,0.42205946395553157,2025-01-31 06:25:41.701092,2025-01-31 07:03:27.120330,0 days 00:37:45.419238,256,0.6,0.00040556629472453666,53,1,COMPLETE
48,0.1483343168132724,0.5260322709705697,2025-01-31 07:03:27.124065,2025-01-31 07:08:26.092105,0 days 00:04:58.968040,128,0.95,0.0005132864915584144,14,4,COMPLETE
49,0.2922222515686074,0.41772803671640835,2025-01-31 07:08:26.095675,2025-01-31 07:25:31.547907,0 days 00:17:05.452232,256,0.4,0.0006076992611936677,36,2,COMPLETE
