number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
26,0.41737961769104004,0.3629806935787201,2025-01-19 19:33:02.382792,2025-01-19 19:39:45.209988,0 days 00:06:42.827196,3,0.15000000000000002,32,0.45,130,0.45,59,0,0.0003363950395048005,2,600,2,COMPLETE
27,0.41294240951538086,0.3733472228050232,2025-01-19 19:39:45.210875,2025-01-19 19:59:46.075287,0 days 00:20:00.864412,4,0.30000000000000004,64,0.35000000000000003,292,0.1,110,0,0.00010227425379098613,1,900,2,COMPLETE
28,0.3523111343383789,0.39491233229637146,2025-01-19 19:59:46.076160,2025-01-19 20:11:06.109690,0 days 00:11:20.033530,2,0.0,128,0.5,165,0.25,121,1,0.0006949700724097589,3,1300,3,COMPLETE
29,0.42799752950668335,0.36577120423316956,2025-01-19 20:11:06.110549,2025-01-19 20:25:21.621484,0 days 00:14:15.510935,2,0.5,16,0.4,184,0.15000000000000002,102,0,0.0003592228224690941,1,1600,5,COMPLETE
30,0.3976179361343384,0.37830421328544617,2025-01-19 20:25:21.622610,2025-01-19 20:34:27.803750,0 days 00:09:06.181140,3,0.25,32,0.25,286,0.30000000000000004,90,0,0.00044090369099494223,2,300,2,COMPLETE
31,0.433098703622818,0.3605695366859436,2025-01-19 20:34:27.804556,2025-01-19 20:50:12.051094,0 days 00:15:44.246538,2,0.5,32,0.45,182,0.35000000000000003,122,0,0.00031209456904478765,1,1600,5,COMPLETE
32,0.44468021392822266,0.3529898524284363,2025-01-19 20:50:12.052166,2025-01-19 20:58:03.012024,0 days 00:07:50.959858,2,0.45,32,0.45,142,0.35000000000000003,122,0,0.00027443069278193754,1,1700,2,COMPLETE
33,0.4060854911804199,0.37503787875175476,2025-01-19 20:58:03.012904,2025-01-19 21:03:49.675746,0 days 00:05:46.662842,2,0.35000000000000003,128,0.45,148,0.35000000000000003,120,0,0.000996580416616346,1,900,2,COMPLETE
34,0.4029863476753235,0.3758482038974762,2025-01-19 21:03:49.676623,2025-01-19 21:13:25.407044,0 days 00:09:35.730421,5,0.4,16,0.15000000000000002,141,0.25,109,0,0.0002653397968855071,1,1500,3,COMPLETE
35,0.14737078547477722,0.4768124520778656,2025-01-19 21:13:25.408164,2025-01-19 21:17:15.325652,0 days 00:03:49.917488,2,0.15000000000000002,32,0.05,161,0.15000000000000002,121,1,0.002111632606934871,1,1200,2,COMPLETE
36,0.3315901756286621,0.40806180238723755,2025-01-19 21:17:15.326513,2025-01-19 21:26:53.448091,0 days 00:09:38.121578,4,0.2,16,0.2,182,0.05,112,0,0.0013499783090661593,1,800,4,COMPLETE
37,0.39628732204437256,0.37374696135520935,2025-01-19 21:26:53.449280,2025-01-19 21:36:13.920531,0 days 00:09:20.471251,3,0.1,32,0.45,198,0.2,32,1,0.00022113278491559823,1,1300,3,COMPLETE
38,0.4222627282142639,0.36691543459892273,2025-01-19 21:36:13.921420,2025-01-19 21:59:13.484890,0 days 00:22:59.563470,5,0.05,32,0.4,253,0.4,40,0,0.00013956157499259332,1,1700,5,COMPLETE
39,0.4134064316749573,0.3664967119693756,2025-01-19 21:59:13.485874,2025-01-19 22:05:49.424277,0 days 00:06:35.938403,2,0.30000000000000004,16,0.1,177,0.45,128,0,0.0005572505968886799,1,900,2,COMPLETE
40,0.3872133791446686,0.3815837800502777,2025-01-19 22:05:49.425290,2025-01-19 22:13:42.439026,0 days 00:07:53.013736,5,0.1,64,0.35000000000000003,152,0.35000000000000003,117,1,0.0034094288572063067,1,1400,2,COMPLETE
41,0.4334232211112976,0.3651667833328247,2025-01-19 22:13:42.440130,2025-01-19 22:20:34.209303,0 days 00:06:51.769173,2,0.2,32,0.5,140,0.30000000000000004,123,0,0.0004242747425968563,1,300,2,COMPLETE
42,0.41981202363967896,0.3686947226524353,2025-01-19 22:20:34.210283,2025-01-19 22:36:35.283495,0 days 00:16:01.073212,2,0.2,32,0.5,275,0.30000000000000004,120,0,0.00039286621242559026,1,1100,4,COMPLETE
43,0.34597933292388916,0.40282315015792847,2025-01-19 22:36:35.284517,2025-01-19 22:40:49.362081,0 days 00:04:14.077564,2,0.05,32,0.45,141,0.0,124,0,0.0017086575651044497,1,1200,2,COMPLETE
44,0.4167613983154297,0.36674976348876953,2025-01-19 22:40:49.362807,2025-01-19 22:58:53.785441,0 days 00:18:04.422634,2,0.15000000000000002,128,0.5,165,0.25,104,0,0.00015519124254987794,2,800,5,COMPLETE
45,0.43661028146743774,0.35544559359550476,2025-01-19 22:58:53.786404,2025-01-19 23:06:11.556502,0 days 00:07:17.770098,3,0.45,32,0.1,129,0.30000000000000004,52,0,0.00019540162415473017,1,500,2,COMPLETE
46,0.38639378547668457,0.3882870078086853,2025-01-19 23:06:11.557382,2025-01-19 23:14:00.656010,0 days 00:07:49.098628,4,0.45,16,0.05,129,0.35000000000000003,62,0,0.0011110120513267397,3,1000,3,COMPLETE
47,0.3949996531009674,0.37944796681404114,2025-01-19 23:14:00.656988,2025-01-19 23:24:24.219394,0 days 00:10:23.562406,3,0.4,64,0.1,202,0.2,113,1,0.00018264329682413468,1,1300,2,COMPLETE
48,0.41842252016067505,0.3731117248535156,2025-01-19 23:24:24.220261,2025-01-19 23:32:32.644520,0 days 00:08:08.424259,3,0.35000000000000003,32,0.30000000000000004,227,0.25,53,0,0.00023238929511026953,2,600,2,COMPLETE
49,0.4348633885383606,0.36339324712753296,2025-01-19 23:32:32.645308,2025-01-19 23:45:26.617072,0 days 00:12:53.971764,4,0.45,32,0.2,177,0.4,68,0,0.00012334282795369573,1,1800,3,COMPLETE
50,0.4098508954048157,0.37087273597717285,2025-01-19 23:45:26.617965,2025-01-19 23:56:36.052251,0 days 00:11:09.434286,5,0.30000000000000004,128,0.0,157,0.35000000000000003,117,1,0.0002851269987716062,2,100,2,COMPLETE
51,0.4207143187522888,0.3627893328666687,2025-01-19 23:56:36.053107,2025-01-20 00:04:45.076962,0 days 00:08:09.023855,4,0.15000000000000002,32,0.45,177,0.4,70,0,0.0001361305816366203,1,1100,2,COMPLETE
