number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
29,0.4582865895710511,0.36048058096478197,2024-12-11 19:43:40.423665,2024-12-11 19:45:00.753732,0 days 00:01:20.330067,32,0.25,0.00010446734396075405,3,300,COMPLETE
30,0.45530276972145023,0.3648828525990614,2024-12-11 19:45:00.765648,2024-12-11 19:46:01.523442,0 days 00:01:00.757794,32,0.1,0.00012280877292372017,3,200,COMPLETE
31,0.45765266694320933,0.36303208151777777,2024-12-11 19:46:01.524190,2024-12-11 19:47:15.961542,0 days 00:01:14.437352,32,0.2,0.00010010796654074294,3,400,COMPLETE
32,0.46355471568747564,0.360748975641957,2024-12-11 19:47:15.962352,2024-12-11 19:48:26.054181,0 days 00:01:10.091829,32,0.2,0.00010215611380219704,3,500,COMPLETE
33,0.44699339098310736,0.37107787522305247,2024-12-11 19:48:26.054870,2024-12-11 19:49:41.458681,0 days 00:01:15.403811,32,0.2,0.0001019224262805624,3,2000,COMPLETE
34,0.4407367710650446,0.37549734747048624,2024-12-11 19:49:41.459391,2024-12-11 19:50:20.571352,0 days 00:00:39.111961,32,0.0,0.00012749702578532807,3,400,COMPLETE
35,0.46209538039735454,0.3628473592012368,2024-12-11 19:50:20.572031,2024-12-11 19:51:23.210960,0 days 00:01:02.638929,32,0.15000000000000002,0.00011563863597441501,3,500,COMPLETE
36,0.45206676966612547,0.36823660274729464,2024-12-11 19:51:23.216887,2024-12-11 19:52:21.649424,0 days 00:00:58.432537,32,0.15000000000000002,0.0001184814342557742,3,400,COMPLETE
37,0.4185166396116376,0.3827559246711864,2024-12-11 19:52:21.650329,2024-12-11 19:52:58.927838,0 days 00:00:37.277509,32,0.05,0.000101037107196809,1,500,COMPLETE
38,0.4593333980731241,0.36460249920279714,2024-12-11 19:52:58.930336,2024-12-11 19:54:13.523584,0 days 00:01:14.593248,16,0.15000000000000002,0.00012109150296336109,3,300,COMPLETE
39,0.4598323668034987,0.36567555813094205,2024-12-11 19:54:13.524335,2024-12-11 19:55:12.042302,0 days 00:00:58.517967,32,0.05,0.0001363450365684846,3,200,COMPLETE
40,0.4222501900560959,0.3854632414009013,2024-12-11 19:55:12.047765,2024-12-11 19:56:02.654258,0 days 00:00:50.606493,16,0.2,0.00011400948605257267,1,600,COMPLETE
41,0.4659993798749156,0.36076357842956536,2024-12-11 19:56:02.661224,2024-12-11 19:57:18.392054,0 days 00:01:15.730830,32,0.1,0.00014139196167250838,3,200,COMPLETE
42,0.46221756092009947,0.36124309985172587,2024-12-11 19:57:18.392852,2024-12-11 19:58:29.152816,0 days 00:01:10.759964,32,0.1,0.00018797014893359498,3,100,COMPLETE
43,0.416638024994709,0.3805967360976552,2024-12-11 19:58:29.161382,2024-12-11 19:59:27.550838,0 days 00:00:58.389456,64,0.1,0.00016779315911182415,1,100,COMPLETE
44,0.45211207558029554,0.3675524854795057,2024-12-11 19:59:27.556490,2024-12-11 20:00:25.287793,0 days 00:00:57.731303,32,0.05,0.00018718834725615232,3,200,COMPLETE
45,0.4989120608893969,0.34064323549931097,2024-12-11 20:00:25.288646,2024-12-11 20:02:22.396159,0 days 00:01:57.107513,16,0.0,0.0007766194356874464,3,100,COMPLETE
46,0.47819923537670694,0.34726460933170855,2024-12-11 20:02:22.396919,2024-12-11 20:03:56.002778,0 days 00:01:33.605859,16,0.0,0.0009200179618012465,3,100,COMPLETE
