number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
26,0.49493856681402326,0.34998816338928956,2025-01-07 20:53:49.526304,2025-01-07 20:56:29.654812,0 days 00:02:40.128508,32,0.05,0.0014021724927759799,0.0005606798826718495,2,300,COMPLETE
27,0.4899040329250492,0.3531310259278297,2025-01-07 20:56:29.659512,2025-01-07 20:58:50.519260,0 days 00:02:20.859748,32,0.05,0.0009701387213264228,0.0006097541397535386,2,300,COMPLETE
28,0.4525526587445892,0.3632707783422461,2025-01-07 20:58:50.528887,2025-01-07 21:00:03.428846,0 days 00:01:12.899959,64,0.05,0.038469466789462906,0.0006966149885115538,1,200,COMPLETE
29,0.4257631561411371,0.3957010306732984,2025-01-07 21:00:03.431241,2025-01-07 21:01:19.252124,0 days 00:01:15.820883,16,0.25,0.08686928260235131,0.00038473706192350513,2,300,COMPLETE
30,0.46792612052878085,0.35875527531016516,2025-01-07 21:01:19.255656,2025-01-07 21:02:27.924907,0 days 00:01:08.669251,128,0.2,0.03740902324358853,0.0005182617412218903,2,300,COMPLETE
31,0.4895982907715276,0.352985931839784,2025-01-07 21:02:27.930127,2025-01-07 21:04:41.668460,0 days 00:02:13.738333,32,0.05,0.0015003709993151207,0.0006280581053929053,2,700,COMPLETE
32,0.457424649441512,0.3644931724469872,2025-01-07 21:04:41.682119,2025-01-07 21:07:53.443934,0 days 00:03:11.761815,32,0.05,0.3304190409483701,0.0005750996473809923,2,2000,COMPLETE
33,0.4639759224466493,0.37347267477462054,2025-01-07 21:07:53.444846,2025-01-07 21:08:54.804760,0 days 00:01:01.359914,64,0.30000000000000004,0.0014803304790001405,0.0007410306151189391,2,300,COMPLETE
34,0.48148713813517074,0.35855207729757715,2025-01-07 21:08:54.805640,2025-01-07 21:10:53.611066,0 days 00:01:58.805426,32,0.1,0.04176545181234794,0.0008196295767859441,2,1500,COMPLETE
35,0.45792493390788025,0.3603740745555537,2025-01-07 21:10:53.616685,2025-01-07 21:12:17.046031,0 days 00:01:23.429346,128,0.05,0.2952820665188281,0.0006369777606239211,1,200,COMPLETE
36,0.42643549857104884,0.38069006352580237,2025-01-07 21:12:17.049657,2025-01-07 21:14:01.923146,0 days 00:01:44.873489,32,0.0,0.39395816876754813,0.0005750081608491949,1,400,COMPLETE
37,0.4759601868386625,0.3565627550867322,2025-01-07 21:14:01.929859,2025-01-07 21:15:14.750950,0 days 00:01:12.821091,128,0.1,0.13214169568188042,0.0004903771177741672,2,600,COMPLETE
38,0.324762153347694,0.45897743508582306,2025-01-07 21:15:14.760244,2025-01-07 21:16:25.808469,0 days 00:01:11.048225,16,0.35000000000000003,0.274629552146319,0.00042614030654317396,2,1700,COMPLETE
39,0.42984841358994164,0.3927996478169439,2025-01-07 21:16:25.814421,2025-01-07 21:17:38.328290,0 days 00:01:12.513869,32,0.2,0.22207127034243276,0.000335286555568935,2,900,COMPLETE
40,0.44173099418678474,0.36783158119194664,2025-01-07 21:17:38.333807,2025-01-07 21:18:34.394050,0 days 00:00:56.060243,128,0.05,0.07674631605666098,0.0008111515020818474,1,1300,COMPLETE
41,0.49594020275667894,0.345732323675578,2025-01-07 21:18:34.400264,2025-01-07 21:21:39.633407,0 days 00:03:05.233143,32,0.05,0.0027065948661006978,0.0006114351242829509,2,200,COMPLETE
42,0.3656220772462489,0.4079937775547153,2025-01-07 21:21:39.634232,2025-01-07 21:22:22.291370,0 days 00:00:42.657138,32,0.45,0.0008009188688958984,0.0009790412138207677,2,200,COMPLETE
43,0.3056954602159453,0.4369508631461894,2025-01-07 21:22:22.292300,2025-01-07 21:23:21.132898,0 days 00:00:58.840598,16,0.0,0.3054018612150535,0.0005607473105149141,2,100,COMPLETE
44,0.47437992738239254,0.35834024367204625,2025-01-07 21:23:21.138035,2025-01-07 21:24:48.196676,0 days 00:01:27.058641,64,0.05,0.25997791928123737,0.0007088648042505184,2,400,COMPLETE
45,0.3586775417203639,0.4151204493761679,2025-01-07 21:24:48.205566,2025-01-07 21:25:28.331238,0 days 00:00:40.125672,32,0.35000000000000003,0.09429016072588087,0.000813753998120653,2,200,COMPLETE
46,0.4702096112654107,0.36176059539668887,2025-01-07 21:25:28.338021,2025-01-07 21:27:06.739514,0 days 00:01:38.401493,32,0.30000000000000004,0.023122602705683087,0.000612076170766616,3,100,COMPLETE
47,0.39248458249700857,0.39140808486867124,2025-01-07 21:27:06.740615,2025-01-07 21:27:42.486605,0 days 00:00:35.745990,128,0.45,0.05212771452147474,0.0008830054811472697,2,400,COMPLETE
48,0.36329274867209455,0.4138403268623798,2025-01-07 21:27:42.494880,2025-01-07 21:31:02.654745,0 days 00:03:20.159865,16,0.0,0.3665074018220997,0.00010238741805686271,3,1300,COMPLETE
49,0.4195011388836886,0.38590131385565435,2025-01-07 21:31:02.663207,2025-01-07 21:31:55.355495,0 days 00:00:52.692288,32,0.4,0.022113745780446573,0.0005419536317071338,1,200,COMPLETE
50,0.47531627519764674,0.3553455550962981,2025-01-07 21:31:55.358369,2025-01-07 21:33:42.272832,0 days 00:01:46.914463,32,0.1,0.06883230950304847,0.0006790667294394775,3,1800,COMPLETE
51,0.5028840049917287,0.34341014432427264,2025-01-07 21:33:42.295729,2025-01-07 21:35:40.488585,0 days 00:01:58.192856,32,0.05,0.011837380683546148,0.0006350523549815901,2,300,COMPLETE
52,0.49543147270595533,0.34472790914647755,2025-01-07 21:35:40.492694,2025-01-07 21:38:09.299602,0 days 00:02:28.806908,32,0.0,0.09716858419477169,0.00047601428287655283,2,600,COMPLETE
53,0.48621514457705234,0.34875226094659834,2025-01-07 21:38:09.300656,2025-01-07 21:40:04.619847,0 days 00:01:55.319191,64,0.0,0.06863025269973923,0.0007450579292663441,2,600,COMPLETE
54,0.33650297977105625,0.41942518025738335,2025-01-07 21:40:04.629750,2025-01-07 21:40:41.418359,0 days 00:00:36.788609,64,0.5,0.06920097864796121,0.0007459873724854644,2,600,COMPLETE
55,0.4639431476847401,0.36297294246111533,2025-01-07 21:40:41.428016,2025-01-07 21:41:56.789906,0 days 00:01:15.361890,128,0.15000000000000002,0.10023215839105898,0.0008649084459533968,1,700,COMPLETE
56,0.4650152142790951,0.35638183625672026,2025-01-07 21:41:56.794638,2025-01-07 21:44:07.633350,0 days 00:02:10.838712,32,0.0,0.23780504454081108,0.0009380663147918846,2,900,COMPLETE
57,0.4952782668681615,0.34535021826060375,2025-01-07 21:44:07.634239,2025-01-07 21:47:28.644027,0 days 00:03:21.009788,16,0.0,0.05815889075653688,0.00035245481242456673,3,1100,COMPLETE
58,0.45973796108580656,0.3730933461526701,2025-01-07 21:47:28.645115,2025-01-07 21:49:11.856700,0 days 00:01:43.211585,16,0.15000000000000002,0.025525425984703014,0.0007628032406893536,3,800,COMPLETE
59,0.4681151326436993,0.3593717833836995,2025-01-07 21:49:11.867904,2025-01-07 21:50:54.637393,0 days 00:01:42.769489,64,0.0,0.14490103289077538,0.0003325526839334509,2,1000,COMPLETE
60,0.30315701376811743,0.4205124822187815,2025-01-07 21:50:54.645049,2025-01-07 21:51:38.549388,0 days 00:00:43.904339,32,0.4,0.1773726429523602,0.0004750964137664703,3,500,COMPLETE
61,0.48437206061096616,0.3548974305770415,2025-01-07 21:51:38.558977,2025-01-07 21:53:14.735729,0 days 00:01:36.176752,32,0.05,0.014443219709463476,0.0005332873220747081,2,2000,COMPLETE
62,0.41264154220435734,0.39314006894530357,2025-01-07 21:53:14.741636,2025-01-07 21:54:10.583891,0 days 00:00:55.842255,32,0.30000000000000004,0.052266016528217024,0.0006632246418102477,2,400,COMPLETE
63,0.4742303712424187,0.3597824218166167,2025-01-07 21:54:10.588222,2025-01-07 21:56:12.010609,0 days 00:02:01.422387,32,0.1,0.11359972918708168,0.0003551402256146051,2,1200,COMPLETE
64,0.4926887643166148,0.34863008299375153,2025-01-07 21:56:12.011696,2025-01-07 22:00:07.781653,0 days 00:03:55.769957,16,0.05,0.034240124045903625,0.0002856112759926059,2,600,COMPLETE
65,0.44979455452255007,0.3683106646544898,2025-01-07 22:00:07.783313,2025-01-07 22:03:15.799295,0 days 00:03:08.015982,16,0.05,0.18299068721098752,0.00026837108166168544,1,1500,COMPLETE
66,0.4430251357453895,0.3799827715922291,2025-01-07 22:03:15.806467,2025-01-07 22:05:42.080952,0 days 00:02:26.274485,32,0.1,0.1896813794356987,0.0004128557233465052,2,100,COMPLETE
67,0.416417937921748,0.3800164077471506,2025-01-07 22:05:42.089976,2025-01-07 22:06:46.732962,0 days 00:01:04.642986,128,0.45,0.030677933528002573,0.0002859057901512464,2,500,COMPLETE
68,0.4764888912307338,0.3555073379011132,2025-01-07 22:06:46.741918,2025-01-07 22:10:06.351065,0 days 00:03:19.609147,32,0.05,0.1649924811488358,0.00022656643682164639,3,1900,COMPLETE
69,0.4603204241290947,0.36772153621155823,2025-01-07 22:10:06.352267,2025-01-07 22:11:26.490553,0 days 00:01:20.138286,32,0.2,0.014702599841529083,0.0005891996067164181,1,700,COMPLETE
70,0.3526826808774487,0.4178736122665215,2025-01-07 22:11:26.494458,2025-01-07 22:12:23.942752,0 days 00:00:57.448294,16,0.4,0.045111272388528925,0.0004615905586175888,2,500,COMPLETE
71,0.46281641532472745,0.3605989761153922,2025-01-07 22:12:23.947949,2025-01-07 22:13:42.858959,0 days 00:01:18.911010,64,0.0,0.2049369466365387,0.0005108346047855899,2,600,COMPLETE
72,0.5010397901399157,0.34316929345042724,2025-01-07 22:13:42.860326,2025-01-07 22:17:34.663498,0 days 00:03:51.803172,32,0.05,0.012116362503837103,0.000717449623281527,2,1100,COMPLETE
73,0.47210455807154705,0.3622891222088304,2025-01-07 22:17:34.664432,2025-01-07 22:19:35.990270,0 days 00:02:01.325838,32,0.1,0.03411714129800039,0.000636008070151762,2,1100,COMPLETE
74,0.4907757446705405,0.35011124205456057,2025-01-07 22:19:35.994836,2025-01-07 22:21:56.186973,0 days 00:02:20.192137,32,0.05,0.010443954407577413,0.0006916430691466008,2,800,COMPLETE
75,0.47494181988504025,0.3567540246702093,2025-01-07 22:21:56.187720,2025-01-07 22:23:56.436627,0 days 00:02:00.248907,32,0.05,0.030337557261939804,0.00040116028463207275,2,1000,COMPLETE
76,0.43039475141154526,0.38067417586326807,2025-01-07 22:23:56.437531,2025-01-07 22:25:00.246525,0 days 00:01:03.808994,32,0.15000000000000002,0.15390602992864175,0.0004382850772419657,2,1200,COMPLETE
77,0.45575657316930096,0.366301486677898,2025-01-07 22:25:00.247359,2025-01-07 22:26:36.859788,0 days 00:01:36.612429,128,0.1,0.3831617969778598,0.00035890062854573455,2,1400,COMPLETE
78,0.3501892521065943,0.410129993201776,2025-01-07 22:26:36.860863,2025-01-07 22:27:23.113522,0 days 00:00:46.252659,32,0.5,0.011835467014255623,0.0005897787567689424,2,300,COMPLETE
79,0.461240944993161,0.37517590767701403,2025-01-07 22:27:23.118068,2025-01-07 22:28:32.775476,0 days 00:01:09.657408,32,0.25,0.05089535321884474,0.0005558360157224039,2,200,COMPLETE
80,0.3467858074692961,0.41867514576709164,2025-01-07 22:28:32.784275,2025-01-07 22:29:36.731401,0 days 00:01:03.947126,16,0.05,0.32234537660801416,0.0004949693408480612,2,400,COMPLETE
81,0.46433328912872174,0.357945393657661,2025-01-07 22:29:36.749534,2025-01-07 22:31:33.870832,0 days 00:01:57.121298,64,0.0,0.3619986376008816,0.000738462432291789,2,1100,COMPLETE
82,0.466152836530905,0.3600044305933435,2025-01-07 22:31:33.872041,2025-01-07 22:33:28.237949,0 days 00:01:54.365908,32,0.05,0.12472851430674413,0.0002976702607148223,2,1700,COMPLETE
83,0.46303214028875617,0.35795578941857764,2025-01-07 22:33:28.239841,2025-01-07 22:35:16.542801,0 days 00:01:48.302960,32,0.0,0.27415561090594176,0.0009959454486682272,2,600,COMPLETE
84,0.45765073162043357,0.36789814379682084,2025-01-07 22:35:16.543720,2025-01-07 22:38:06.105755,0 days 00:02:49.562035,128,0.1,0.3466126961506092,0.00018272460909301137,2,300,COMPLETE
85,0.4992760281082928,0.3430934096233703,2025-01-07 22:38:06.109756,2025-01-07 22:40:40.617421,0 days 00:02:34.507665,64,0.05,0.00833308379416327,0.000665037309433001,3,1400,COMPLETE
86,0.39043897911434117,0.40252343484403996,2025-01-07 22:40:40.618586,2025-01-07 22:41:23.153354,0 days 00:00:42.534768,64,0.30000000000000004,0.0802886655496323,0.00062034119410034,3,900,COMPLETE
87,0.45026863738896256,0.36960956237155307,2025-01-07 22:41:23.154684,2025-01-07 22:46:42.350726,0 days 00:05:19.196042,16,0.05,0.23566528457759878,0.0005208153715342478,3,100,COMPLETE
88,0.4592312499201573,0.3626022164760382,2025-01-07 22:46:42.351840,2025-01-07 22:48:05.890728,0 days 00:01:23.538888,128,0.35000000000000003,0.039182834417645404,0.00024868938656288106,1,1400,COMPLETE
89,0.4976253094993471,0.34973122762066117,2025-01-07 22:48:05.895324,2025-01-07 22:50:08.202065,0 days 00:02:02.306741,64,0.1,0.007195982517011515,0.0006549710854251905,3,1600,COMPLETE
90,0.49254712798932154,0.3479279626655389,2025-01-07 22:50:08.208797,2025-01-07 22:51:52.679140,0 days 00:01:44.470343,64,0.05,0.007272705561030845,0.0006626361422694292,3,200,COMPLETE
91,0.5045159854043572,0.34358667044568325,2025-01-07 22:51:52.691452,2025-01-07 22:53:37.379601,0 days 00:01:44.688149,64,0.05,0.008068293734888566,0.0006646755865879622,3,300,COMPLETE
92,0.4512702252649519,0.37830230310089863,2025-01-07 22:53:37.380563,2025-01-07 22:54:41.822751,0 days 00:01:04.442188,64,0.2,0.009199142016567336,0.0006546842153960366,3,1600,COMPLETE
93,0.4969370420623056,0.3426178168183321,2025-01-07 22:54:41.824166,2025-01-07 22:56:02.073345,0 days 00:01:20.249179,64,0.05,0.024857863166931164,0.0009309518408215133,3,400,COMPLETE
94,0.5099414591228196,0.3419315903147111,2025-01-07 22:56:02.074116,2025-01-07 22:57:33.540963,0 days 00:01:31.466847,64,0.1,0.02603215306714259,0.00092878059357295,3,200,COMPLETE
95,0.4567352452484267,0.3802392779147148,2025-01-07 22:57:33.541999,2025-01-07 22:58:34.247321,0 days 00:01:00.705322,64,0.25,0.06157800946195138,0.0009253578750733603,3,200,COMPLETE
96,0.26607475192628216,0.4558106745484027,2025-01-07 22:58:34.248347,2025-01-07 22:59:09.307896,0 days 00:00:35.059549,64,0.2,0.39907870883270924,0.0008532302106564277,3,100,COMPLETE
97,0.4721772394625548,0.35874270007938536,2025-01-07 22:59:09.309059,2025-01-07 23:00:14.186539,0 days 00:01:04.877480,64,0.15000000000000002,0.08953866184108789,0.000920865338287781,3,200,COMPLETE
98,0.3941666217758858,0.40932785301300234,2025-01-07 23:00:14.198669,2025-01-07 23:01:22.262030,0 days 00:01:08.063361,64,0.30000000000000004,0.0979952818996953,0.0007894346380087862,3,100,COMPLETE
99,0.49734117442808284,0.3503983706451686,2025-01-07 23:01:22.263065,2025-01-07 23:02:34.738803,0 days 00:01:12.475738,64,0.15000000000000002,0.023268602415057682,0.0008364332736381338,3,300,COMPLETE
