number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
30,0.4985645620799982,0.405041559391125,2025-01-07 13:42:24.815748,2025-01-07 13:42:47.133135,0 days 00:00:22.317387,64,0.1,0.3473626872169974,0.0005962589482788112,1,500,COMPLETE
31,0.5062285175907744,0.39690280878813955,2025-01-07 13:42:47.134437,2025-01-07 13:43:13.669091,0 days 00:00:26.534654,128,0.15000000000000002,0.07011491705528342,0.0008314129799752999,2,100,COMPLETE
32,0.41961145983661285,0.4563118574237932,2025-01-07 13:43:13.671196,2025-01-07 13:43:35.767675,0 days 00:00:22.096479,32,0.25,0.3771099758259242,0.0007112205060894979,3,200,COMPLETE
33,0.503082279514092,0.40760740643546634,2025-01-07 13:43:35.769939,2025-01-07 13:44:47.165559,0 days 00:01:11.395620,16,0.15000000000000002,0.28749004784363924,0.00042173668338656915,3,1800,COMPLETE
34,0.4845607523169539,0.42030367288120446,2025-01-07 13:44:47.167928,2025-01-07 13:45:10.483033,0 days 00:00:23.315105,128,0.45,0.2808560178478045,0.0007024170026050825,2,2000,COMPLETE
35,0.5089592540756745,0.39603406952231424,2025-01-07 13:45:10.486400,2025-01-07 13:45:49.891578,0 days 00:00:39.405178,16,0.2,0.2506347129009069,0.0005663461204704109,2,1000,COMPLETE
36,0.500032950354601,0.4085637677984713,2025-01-07 13:45:49.894313,2025-01-07 13:46:29.698156,0 days 00:00:39.803843,32,0.0,0.30599683036006,0.000504966356197175,3,1600,COMPLETE
37,0.4973504161743456,0.41716795768311554,2025-01-07 13:46:29.702609,2025-01-07 13:46:52.600262,0 days 00:00:22.897653,128,0.35000000000000003,0.3250547437893804,0.0008758462550474767,1,1200,COMPLETE
38,0.43462369050201294,0.4428254438962861,2025-01-07 13:46:52.601580,2025-01-07 13:47:20.136069,0 days 00:00:27.534489,16,0.25,0.3898400609853431,0.000547777088411685,3,700,COMPLETE
39,0.5160559949881196,0.391439872873873,2025-01-07 13:47:20.138165,2025-01-07 13:47:43.318657,0 days 00:00:23.180492,64,0.1,0.2397446442113076,0.0006410277637323333,2,400,COMPLETE
