number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
28,0.6203580696964546,0.381224662065506,2024-12-18 04:45:07.214075,2024-12-18 04:54:59.189992,0 days 00:09:51.975917,False,norm,64,4,0.05,0.2,600,300,0.00025209993183359617,2,4,COMPLETE
29,0.3638219405560143,0.543999433517456,2024-12-18 04:54:59.194757,2024-12-18 05:04:52.154714,0 days 00:09:52.959957,True,mean,64,5,0.15000000000000002,0.1,900,1000,0.00033562641930813086,3,2,COMPLETE
30,0.5876634301149462,0.382257878780365,2024-12-18 05:04:52.166296,2024-12-18 05:14:09.813169,0 days 00:09:17.646873,True,mean,128,2,0.25,0.15000000000000002,600,200,0.0003011958470165901,4,8,COMPLETE
31,0.45159061829837177,0.49619758129119873,2024-12-18 05:14:09.826289,2024-12-18 05:20:47.084396,0 days 00:06:37.258107,True,norm,16,3,0.0,0.30000000000000004,400,400,0.00041430965014702163,3,9,COMPLETE
32,0.7067319633202601,0.3312757909297943,2024-12-18 05:20:47.086101,2024-12-18 05:32:13.851782,0 days 00:11:26.765681,True,mean,128,3,0.05,0.15000000000000002,800,600,0.0005431167513553084,2,6,COMPLETE
33,0.6175852201413796,0.3678942322731018,2024-12-18 05:32:13.855094,2024-12-18 05:39:56.231162,0 days 00:07:42.376068,True,mean,64,3,0.5,0.2,700,100,0.0004090526248434567,2,5,COMPLETE
34,0.010990158278733403,0.6102567315101624,2024-12-18 05:39:56.232761,2024-12-18 05:51:41.163496,0 days 00:11:44.930735,False,sum,128,4,0.1,0.05,800,200,0.0007326808576076079,2,7,COMPLETE
35,0.5905240861399639,0.3965294063091278,2024-12-18 05:51:41.172788,2024-12-18 06:00:38.939355,0 days 00:08:57.766567,False,mean,64,2,0.0,0.15000000000000002,1000,400,0.00015896866810020398,1,5,COMPLETE
36,0.5929795786542366,0.41164857149124146,2024-12-18 06:00:38.947507,2024-12-18 06:08:51.533556,0 days 00:08:12.586049,True,mean,32,5,0.05,0.1,600,600,0.00034686930639972913,5,6,COMPLETE
37,0.3750872999021448,0.4540931284427643,2024-12-18 06:08:51.543966,2024-12-18 06:15:11.153737,0 days 00:06:19.609771,True,sum,16,1,0.1,0.4,900,1700,0.00010020504141273134,1,4,COMPLETE
38,0.6307651990727596,0.42645004391670227,2024-12-18 06:15:11.161217,2024-12-18 06:25:47.805867,0 days 00:10:36.644650,False,norm,64,5,0.05,0.35000000000000003,400,2000,0.0003084277517703617,4,7,COMPLETE
39,0.7338523064713048,0.36499619483947754,2024-12-18 06:25:47.806980,2024-12-18 06:33:24.053188,0 days 00:07:36.246208,True,mean,128,4,0.0,0.15000000000000002,700,200,0.0005325753486831002,2,4,COMPLETE
40,0.48318871665552354,0.42107677459716797,2024-12-18 06:33:24.064451,2024-12-18 06:41:50.162971,0 days 00:08:26.098520,True,norm,32,1,0.45,0.30000000000000004,600,800,0.00026290909915645196,1,5,COMPLETE
41,0.13772758118099357,0.5784777402877808,2024-12-18 06:41:50.174313,2024-12-18 06:49:15.759379,0 days 00:07:25.585066,False,sum,16,3,0.1,0.05,800,600,0.00043220459683280437,3,8,COMPLETE
42,0.5758555773535166,0.39278629422187805,2024-12-18 06:49:15.760700,2024-12-18 06:56:50.293968,0 days 00:07:34.533268,True,mean,64,4,0.15000000000000002,0.0,700,400,0.0004036367742077553,2,5,COMPLETE
43,0.6525128268570095,0.5192453861236572,2024-12-18 06:56:50.306213,2024-12-18 07:05:14.209133,0 days 00:08:23.902920,True,mean,64,4,0.0,0.5,900,400,0.0003798545898191968,2,6,COMPLETE
44,0.5204634354069603,0.4863671362400055,2024-12-18 07:05:14.221606,2024-12-18 07:11:05.535775,0 days 00:05:51.314169,True,sum,64,4,0.05,0.35000000000000003,800,100,0.00013794642954106522,5,5,COMPLETE
45,0.4111370568710254,0.5437561273574829,2024-12-18 07:11:05.538015,2024-12-18 07:18:22.918844,0 days 00:07:17.380829,True,mean,64,1,0.35000000000000003,0.25,700,1200,0.0005077109358865748,1,9,COMPLETE
46,0.7188408145853536,0.3085936903953552,2024-12-18 07:18:22.926141,2024-12-18 07:26:00.769431,0 days 00:07:37.843290,True,norm,64,2,0.0,0.45,500,200,0.0004522089628532314,3,3,COMPLETE
47,0.5582066292930467,0.42316800355911255,2024-12-18 07:26:00.773370,2024-12-18 07:35:53.288538,0 days 00:09:52.515168,False,norm,128,2,0.05,0.45,500,200,0.0002890807942776727,2,2,COMPLETE
48,0.5985854313799244,0.3866710364818573,2024-12-18 07:35:53.292654,2024-12-18 07:41:50.556838,0 days 00:05:57.264184,True,sum,32,4,0.2,0.25,100,1600,0.00023397746180789242,1,3,COMPLETE
49,0.5905445325821507,0.42157667875289917,2024-12-18 07:41:50.559100,2024-12-18 07:48:13.412428,0 days 00:06:22.853328,True,mean,16,5,0.30000000000000004,0.4,300,100,0.0004402995273777841,2,3,COMPLETE
50,0.5407472759337985,0.4183354675769806,2024-12-18 07:48:13.418026,2024-12-18 07:58:36.900178,0 days 00:10:23.482152,False,norm,64,4,0.45,0.0,800,500,0.0006185493719918136,2,4,COMPLETE
51,0.023992418058201362,1.128544807434082,2024-12-18 07:58:36.908704,2024-12-18 08:10:08.796137,0 days 00:11:31.887433,True,mean,64,2,0.0,0.30000000000000004,500,1900,0.00019175816550950713,4,9,COMPLETE
52,0.7403820437126852,0.31866684556007385,2024-12-18 08:10:08.813850,2024-12-18 08:18:57.371667,0 days 00:08:48.557817,True,mean,64,2,0.0,0.1,400,200,0.00036997564429709255,3,5,COMPLETE
53,0.6458169060341977,0.3715705871582031,2024-12-18 08:18:57.376980,2024-12-18 08:25:13.591729,0 days 00:06:16.214749,True,mean,64,3,0.0,0.15000000000000002,1000,300,0.00036080798665265475,3,6,COMPLETE
54,0.7296705691288553,0.3118712902069092,2024-12-18 08:25:13.607124,2024-12-18 08:33:17.433671,0 days 00:08:03.826547,True,mean,64,2,0.0,0.2,800,100,0.0004809033632075121,3,10,COMPLETE
55,0.7514360673595614,0.2834871709346771,2024-12-18 08:33:17.453092,2024-12-18 08:44:36.160203,0 days 00:11:18.707111,True,mean,64,2,0.0,0.1,400,900,0.000494240175965766,4,5,COMPLETE
56,0.17066813591291735,0.6356227993965149,2024-12-18 08:44:36.177563,2024-12-18 08:55:50.324968,0 days 00:11:14.147405,False,sum,32,2,0.30000000000000004,0.05,300,900,0.0008500036661223396,5,10,COMPLETE
57,0.49596621812276975,0.4472373127937317,2024-12-18 08:55:50.328573,2024-12-18 09:06:40.330830,0 days 00:10:50.002257,True,norm,64,1,0.25,0.1,400,1400,0.0004919113609279069,4,5,COMPLETE
58,0.3980825428531593,0.45846426486968994,2024-12-18 09:06:40.354184,2024-12-18 09:16:16.098543,0 days 00:09:35.744359,True,mean,64,2,0.4,0.1,200,1100,0.0005999959880089699,5,4,COMPLETE
59,,,2024-12-18 09:16:16.102638,2024-12-18 09:26:45.834806,0 days 00:10:29.732168,False,mean,16,2,0.35000000000000003,0.05,300,1500,0.0004555286882614592,4,5,FAIL
60,0.18999512355553677,0.551076352596283,2024-12-18 09:26:45.838829,2024-12-18 09:41:30.601278,0 days 00:14:44.762449,False,mean,16,2,0.35000000000000003,0.05,300,1500,0.0004593943789545486,4,5,COMPLETE
61,0.4064251884770278,0.45517367124557495,2024-12-18 09:41:30.609376,2024-12-18 09:50:04.701120,0 days 00:08:34.091744,True,sum,64,1,0.2,0.1,400,1300,0.0004767942129249053,4,7,COMPLETE
