MAE,MSE,RMSE,R,R2,SPR
0.4291902981072043,0.3485608629387112,0.5903904326280289,0.6717305353163836,0.4512219120764353,0.6854505057320402
0.42663673385366246,0.32278895268600716,0.5681451862737263,0.6997389804096564,0.48963464070474555,0.7239368696426693
0.43772965193938496,0.3639225361339656,0.6032599241901998,0.6520758002001709,0.42520284920669316,0.6764594972766345
0.42216059136164424,0.332636720570017,0.5767466693185292,0.6804239430167277,0.4629767422304311,0.7076980847238735
0.43211370746586125,0.33398786183035867,0.5779168295095399,0.6910670994930818,0.477573736001781,0.7074059229375022
0.40973983799619296,0.30792005749229034,0.5549054491463301,0.7030415967131659,0.4942674867089978,0.7110590273478343
0.4128162904739292,0.32978900550919976,0.574272588157575,0.6761332036763382,0.4571561091136287,0.71095947592433
0.42804364741910006,0.33568879371210136,0.5793865667342498,0.658677821836335,0.4338564729790587,0.6754758859291842
0.3998953365213029,0.3210380886688067,0.5666022314364872,0.672556619823954,0.4523324068690226,0.6970882835558324
0.41595867769817996,0.3146350577524878,0.5609233974015416,0.701714507073535,0.4924032494374542,0.7288960454461504
0.42738443197506487,0.33207347665075465,0.5762581684026307,0.6768965476490718,0.4581889362192321,0.6977396961313715
0.42873754991981794,0.34283262173737433,0.5855191045024699,0.6607821068286006,0.4366329927048441,0.6855327438645002
0.4149192009966867,0.31537984705099303,0.561586900711718,0.6919810317212237,0.47883774826196923,0.7058076897579817
0.4507782275603421,0.3744260514555809,0.6119036292224298,0.6338846023029695,0.4018096890367938,0.6422473520925491
0.4421483389134016,0.32523348299440646,0.5702924539167659,0.6896095024305972,0.4755612658425758,0.7054938863578052
0.41467986151931674,0.30368201255124166,0.5510735092083829,0.708054751480547,0.5013415310941791,0.719247131931064
0.41932895713471674,0.3252700943329683,0.5703245517536206,0.6755267297802772,0.4563363626476356,0.7006450827847309
0.42703577901440454,0.35989432197261245,0.5999119285133547,0.6506365246689363,0.42332788723327136,0.6615516716068636
0.43838782675679633,0.3439739172764453,0.5864928961858321,0.6663262465463193,0.44399066683650634,0.6833469408701665
0.42171029448724645,0.33209384543076276,0.576275841442935,0.6656450176320475,0.4430832894983689,0.67418929198846
0.4377076475289105,0.3397958018041792,0.582920064677979,0.6625835950038877,0.43901702036827595,0.7074481240844224
0.4319460151386875,0.3301654691854514,0.5746002690440124,0.6740575704685106,0.4543536083059111,0.706181007596123
0.41232912339935207,0.30910616037911665,0.5559731651609785,0.6965449761724839,0.48517490383112616,0.6989775964410339
0.42044220606461674,0.33396877681674764,0.5779003173703469,0.6786552408089638,0.4605729358774726,0.7071905888801395
0.43588077086322763,0.342006998159195,0.5848136439577953,0.6889631888002598,0.47467027552182234,0.7000813187451034
0.4479368069781452,0.3565078126824816,0.5970827519552726,0.6667635696348189,0.44457365779216595,0.6845058492894395
0.4488608042777966,0.37390065640649817,0.6114741665896427,0.6435085211883014,0.4141032168419545,0.6951427024747372
0.44013889176756343,0.33843174911570434,0.5817488711769919,0.6891220178156727,0.47488915543834437,0.7186519875514187
0.42528649158807613,0.3434653616432631,0.5860591793012572,0.6605049228188306,0.4362667530679093,0.6972938788869826
0.4127637021872905,0.33768600705160745,0.581107569260294,0.6485146992721912,0.42057131517210056,0.6895083083205312
