MAE,MSE,RMSE,R,R2,SPR
0.39114897842835455,0.2542308656648428,0.5042131153241086,0.6378285270785707,0.406825229955219,0.6386507368172577
0.39839081844754975,0.2569198576607265,0.5068726246905888,0.6289749622414802,0.3956095031266714,0.6260772273192314
0.39008753891570136,0.24893300875325314,0.49893186784695676,0.6456929603609437,0.41691939905967923,0.6366465918661017
0.3949773447244491,0.2538978921411586,0.5038828158819852,0.6412141967725856,0.41115564614271216,0.6370903431257035
0.3923142778183843,0.2540635604212801,0.5040471807492629,0.6419658844496061,0.41212019679716505,0.645175528618489
0.3947229010676875,0.2525642543998087,0.5025577125065426,0.6378116361397488,0.4068036831952633,0.6346769811875105
0.39337194585889385,0.2545253882496204,0.5045050923921585,0.6393922176705169,0.40882240801762165,0.6366633318597276
0.40008330077210197,0.2656508352045888,0.5154132664227695,0.623865858390499,0.3892086092653142,0.6263999414820639
0.38771597306849886,0.25079821786587525,0.5007975817292604,0.6414083893853993,0.41140472197397204,0.6392618622988415
0.39295710079540713,0.2605969362059133,0.5104869598784216,0.6331726881423801,0.4009076530094478,0.6313235567501276
0.3951488874105188,0.25629719005511853,0.5062580271512922,0.6376500131630964,0.40659753928689707,0.635011369631612
0.3887609267987094,0.24642454372879216,0.4964116675993748,0.651935512568841,0.4250199125483974,0.6410230073425259
0.39050112447692353,0.24967973565743565,0.49967963302243534,0.6444526606456075,0.4153192318132025,0.6438077348535977
0.39039632583995465,0.2539663935010204,0.5039507848004807,0.6361554616211273,0.40469377135038964,0.6320804564619185
0.39656402311109995,0.2578214387072559,0.507761202443881,0.6367242512820968,0.4054177721707467,0.6315113481071927
0.3901225309035346,0.25140250935121633,0.5014005478170286,0.6435332809651058,0.41413508370971375,0.6382222598375542
0.4053041257422333,0.2683072106141354,0.5179837937755731,0.6212044732603238,0.3858949975986363,0.6118006870411067
0.3925042916029017,0.2525522630009032,0.5025457819949375,0.6420882259384497,0.41227728988878565,0.63489526967582
0.395604320931396,0.25821552785969415,0.508149119707684,0.637233752021638,0.40606685471557447,0.6265688071320497
0.39863960088070927,0.2598814163027389,0.5097856572155978,0.6293225415571442,0.39604686131194344,0.6286640063342486
0.3955369212432587,0.25882489638181355,0.5087483625347737,0.6320543233916216,0.3994926677180406,0.6278754523487966
0.3991562935213248,0.26019993485411436,0.5100979659380288,0.6310713776644037,0.39825108370724843,0.6302165651819094
0.3948579302425331,0.25176524254413707,0.5017621374158647,0.64126895702633,0.4112258752456371,0.6338925929147579
0.3879110143191413,0.24532224863938543,0.49530016014472017,0.6549095201439026,0.42890647957511674,0.6517748661056211
0.38927101787529333,0.25369650878777383,0.5036829447060659,0.6390563408785891,0.4083930068171315,0.6357757264834205
0.3891775596816798,0.2453794625250658,0.49535791355853576,0.6470276053924511,0.4186447221398894,0.643436009280856
0.3897047000326831,0.24869487749918667,0.4986931696937373,0.6407041820584144,0.4105018489071418,0.6313778653008769
0.39050724829960026,0.25120920598843016,0.5012077473348054,0.6433954977504371,0.4139577665255328,0.6387799767680462
0.38884024611375867,0.2513355211553411,0.5013337422868533,0.6422760860170336,0.4125185706693599,0.6428768266366363
0.3870461340571684,0.24692949975713063,0.49692001343992037,0.648211231247285,0.42017780031512114,0.6466081480729823
