number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
26,0.4960396885871887,0.3565956652164459,2025-01-20 13:15:01.197294,2025-01-20 13:28:47.551263,0 days 00:13:46.353969,3,0.30000000000000004,32,0.15000000000000002,273,0.30000000000000004,54,1,0.00015006733855539995,1,800,3,COMPLETE
27,0.5062295198440552,0.3528989851474762,2025-01-20 13:28:47.552091,2025-01-20 13:48:55.828245,0 days 00:20:08.276154,4,0.2,32,0.05,250,0.25,76,1,0.000252607799133698,3,400,4,COMPLETE
28,0.4930862486362457,0.3607381582260132,2025-01-20 13:48:55.829050,2025-01-20 13:56:36.784216,0 days 00:07:40.955166,2,0.15000000000000002,16,0.1,211,0.15000000000000002,99,1,0.0004033755421074927,1,1400,2,COMPLETE
29,0.5129629969596863,0.35574084520339966,2025-01-20 13:56:36.785108,2025-01-20 14:05:39.949225,0 days 00:09:03.164117,3,0.25,32,0.2,237,0.4,90,0,0.0003230172295314865,2,2000,2,COMPLETE
30,0.4886268675327301,0.36074298620224,2025-01-20 14:05:39.950070,2025-01-20 14:19:43.397607,0 days 00:14:03.447537,3,0.35000000000000003,128,0.45,195,0.4,116,1,0.00032823471213740417,1,200,3,COMPLETE
31,0.5224550366401672,0.3482714295387268,2025-01-20 14:19:43.398516,2025-01-20 14:28:25.256292,0 days 00:08:41.857776,2,0.25,32,0.2,236,0.4,88,1,0.00031379421256414483,2,500,2,COMPLETE
32,0.5109480619430542,0.34913763403892517,2025-01-20 14:28:25.257098,2025-01-20 14:35:11.004075,0 days 00:06:45.746977,2,0.35000000000000003,32,0.2,222,0.45,87,0,0.0005949148286773591,3,1500,2,COMPLETE
33,0.02969362773001194,0.5715249180793762,2025-01-20 14:35:11.004907,2025-01-20 14:39:32.472091,0 days 00:04:21.467184,5,0.35000000000000003,32,0.15000000000000002,284,0.45,102,1,0.0006780665006418703,3,1000,2,COMPLETE
34,0.49751490354537964,0.3591556251049042,2025-01-20 14:39:32.473065,2025-01-20 14:49:08.559205,0 days 00:09:36.086140,2,0.25,32,0.2,231,0.4,77,0,0.00021178846975038602,2,1800,3,COMPLETE
35,-0.000665640807710588,0.5783827900886536,2025-01-20 14:49:08.560217,2025-01-20 14:51:22.219417,0 days 00:02:13.659200,2,0.4,32,0.0,246,0.35000000000000003,127,1,0.002831590991528671,3,700,2,COMPLETE
36,0.09408605098724365,0.538200855255127,2025-01-20 14:51:22.220488,2025-01-20 14:57:56.647204,0 days 00:06:34.426716,5,0.30000000000000004,32,0.30000000000000004,262,0.45,111,1,0.0012670150078615216,2,1200,3,COMPLETE
37,0.46562522649765015,0.36887940764427185,2025-01-20 14:57:56.648186,2025-01-20 15:07:43.888221,0 days 00:09:47.240035,2,0.4,128,0.05,136,0.5,82,0,0.00043721308704678546,3,1700,5,COMPLETE
38,0.48714298009872437,0.3673091530799866,2025-01-20 15:07:43.889032,2025-01-20 15:25:26.468420,0 days 00:17:42.579388,4,0.2,32,0.4,275,0.30000000000000004,91,1,0.0001862732476758134,2,600,3,COMPLETE
39,0.2952478528022766,0.45432543754577637,2025-01-20 15:25:26.469299,2025-01-20 15:28:54.529673,0 days 00:03:28.060374,2,0.5,128,0.25,152,0.05,41,1,0.0006893007734275044,2,900,2,COMPLETE
40,-0.0014187336200848222,0.5793651342391968,2025-01-20 15:28:54.530679,2025-01-20 15:44:36.828427,0 days 00:15:42.297748,5,0.45,16,0.5,187,0.35000000000000003,74,0,0.00910536150503516,3,700,5,COMPLETE
41,0.3108023405075073,0.44462746381759644,2025-01-20 15:44:36.829313,2025-01-20 15:50:42.187668,0 days 00:06:05.358355,2,0.35000000000000003,32,0.2,221,0.45,87,1,0.0005697459434043053,3,1300,2,COMPLETE
42,0.02769777737557888,0.5696201324462891,2025-01-20 15:50:42.189527,2025-01-20 15:53:10.975146,0 days 00:02:28.785619,2,0.30000000000000004,32,0.2,250,0.4,87,0,0.004553556604624977,3,1500,2,COMPLETE
43,0.4656766355037689,0.36587128043174744,2025-01-20 15:53:10.975977,2025-01-20 15:59:36.087485,0 days 00:06:25.111508,2,0.25,32,0.15000000000000002,240,0.45,101,1,0.0003706581947666485,2,500,2,COMPLETE
44,-0.0008532762294635177,0.5772411823272705,2025-01-20 15:59:36.088344,2025-01-20 16:01:45.418601,0 days 00:02:09.330257,2,0.2,128,0.1,214,0.1,94,1,0.006397806320311839,2,900,2,COMPLETE
45,0.5106690526008606,0.3559448719024658,2025-01-20 16:01:45.419354,2025-01-20 16:08:36.766313,0 days 00:06:51.346959,2,0.25,32,0.30000000000000004,160,0.35000000000000003,83,1,0.00026152136699299325,2,1100,2,COMPLETE
46,0.504054844379425,0.3580532968044281,2025-01-20 16:08:36.767265,2025-01-20 16:17:28.997054,0 days 00:08:52.229789,2,0.35000000000000003,16,0.15000000000000002,206,0.5,63,1,0.0005336882459677576,3,100,2,COMPLETE
47,0.5029962062835693,0.35566598176956177,2025-01-20 16:17:28.997947,2025-01-20 16:26:07.190569,0 days 00:08:38.192622,3,0.05,32,0.45,227,0.35000000000000003,79,0,0.0002032581680950632,2,400,2,COMPLETE
48,0.3777320683002472,0.4121396541595459,2025-01-20 16:26:07.191503,2025-01-20 16:33:47.035845,0 days 00:07:39.844342,2,0.30000000000000004,128,0.25,240,0.4,50,1,0.00032811634144955476,3,1600,2,COMPLETE
49,0.49604034423828125,0.3604103922843933,2025-01-20 16:33:47.036790,2025-01-20 16:40:43.244404,0 days 00:06:56.207614,2,0.4,32,0.35000000000000003,130,0.05,104,1,0.00015500194509915553,2,800,2,COMPLETE
50,0.33170410990715027,0.434512197971344,2025-01-20 16:40:43.245331,2025-01-20 16:55:33.441946,0 days 00:14:50.196615,5,0.15000000000000002,16,0.2,296,0.25,114,1,0.00042246766853185953,1,200,3,COMPLETE
51,0.5127555131912231,0.3526880741119385,2025-01-20 16:55:33.442988,2025-01-20 17:04:49.171773,0 days 00:09:15.728785,3,0.25,32,0.2,236,0.4,89,0,0.0003474777953632468,2,1800,2,COMPLETE
52,0.48358041048049927,0.3614227771759033,2025-01-20 17:04:49.172657,2025-01-20 17:12:53.206579,0 days 00:08:04.033922,2,0.25,32,0.30000000000000004,268,0.30000000000000004,71,1,0.0002784184214074763,2,1100,2,COMPLETE
53,0.4716433584690094,0.3693331480026245,2025-01-20 17:12:53.207327,2025-01-20 17:18:20.187847,0 days 00:05:26.980520,2,0.25,32,0.2,258,0.0,96,0,0.0026848019612379127,1,2000,2,COMPLETE
54,-0.00038782358751632273,0.5795193314552307,2025-01-20 17:18:20.188687,2025-01-20 17:20:57.062343,0 days 00:02:36.873656,3,0.45,16,0.25,244,0.45,89,1,0.009876378113965497,2,600,2,COMPLETE
55,0.19378317892551422,0.49461808800697327,2025-01-20 17:20:57.063223,2025-01-20 17:29:25.917101,0 days 00:08:28.853878,2,0.30000000000000004,128,0.15000000000000002,223,0.5,38,1,0.0006078525657908021,3,1000,5,COMPLETE
56,0.5028082728385925,0.35880300402641296,2025-01-20 17:29:25.918117,2025-01-20 17:38:50.771012,0 days 00:09:24.852895,4,0.2,32,0.4,235,0.35000000000000003,85,1,0.00038058328815097507,1,500,2,COMPLETE
57,0.4790593683719635,0.3626320958137512,2025-01-20 17:38:50.771845,2025-01-20 17:54:49.686882,0 days 00:15:58.915037,3,0.0,64,0.1,252,0.2,98,0,0.000238586555728571,2,1800,4,COMPLETE
58,0.30924877524375916,0.43687954545021057,2025-01-20 17:54:49.687731,2025-01-20 18:01:54.758033,0 days 00:07:05.070302,2,0.15000000000000002,32,0.25,198,0.30000000000000004,80,1,0.0011537714494483063,1,300,3,COMPLETE
59,0.38014310598373413,0.4054904580116272,2025-01-20 18:01:54.758917,2025-01-20 18:06:13.165729,0 days 00:04:18.406812,2,0.2,32,0.2,170,0.15000000000000002,106,1,0.0007929489662172541,3,100,2,COMPLETE
60,0.46952685713768005,0.3731423616409302,2025-01-20 18:06:13.166571,2025-01-20 18:19:50.156965,0 days 00:13:36.990394,5,0.25,64,0.35000000000000003,183,0.25,94,1,0.0005037754101608394,1,1400,4,COMPLETE
61,0.5089249610900879,0.3526453971862793,2025-01-20 18:19:50.157801,2025-01-20 18:27:27.442907,0 days 00:07:37.285106,3,0.1,32,0.2,236,0.4,68,0,0.0003315647863471783,2,2000,2,COMPLETE
62,0.47729626297950745,0.3675762116909027,2025-01-20 18:27:27.443672,2025-01-20 18:34:21.962243,0 days 00:06:54.518571,3,0.25,32,0.15000000000000002,218,0.4,90,1,0.0002921730126576172,2,600,2,COMPLETE
63,0.49622517824172974,0.3559747338294983,2025-01-20 18:34:21.963174,2025-01-20 18:45:27.570901,0 days 00:11:05.607727,4,0.2,16,0.05,225,0.4,87,1,0.00011989468285914836,2,400,2,COMPLETE
64,0.47919410467147827,0.3647530972957611,2025-01-20 18:45:27.572099,2025-01-20 18:59:54.812906,0 days 00:14:27.240807,3,0.30000000000000004,32,0.0,209,0.45,47,0,0.00018103591290600244,2,1200,5,COMPLETE
65,0.36786264181137085,0.4176132082939148,2025-01-20 18:59:54.814128,2025-01-20 19:06:30.444496,0 days 00:06:35.630368,4,0.25,128,0.2,231,0.1,121,1,0.0016173025750831043,2,800,2,COMPLETE
66,0.4978531301021576,0.3574564456939697,2025-01-20 19:06:30.445458,2025-01-20 19:19:56.649262,0 days 00:13:26.203804,3,0.1,64,0.25,242,0.35000000000000003,127,1,0.0010272388148916125,2,700,3,COMPLETE
67,0.4500909745693207,0.3736264407634735,2025-01-20 19:19:56.650196,2025-01-20 19:33:45.538843,0 days 00:13:48.888647,3,0.15000000000000002,32,0.45,248,0.4,76,1,0.000455779164027159,2,900,4,COMPLETE
68,0.48849353194236755,0.3629356920719147,2025-01-20 19:33:45.539710,2025-01-20 19:39:29.704295,0 days 00:05:44.164585,4,0.5,32,0.30000000000000004,143,0.0,93,0,0.00021293878796182976,2,200,2,COMPLETE
69,0.5009333491325378,0.35504239797592163,2025-01-20 19:39:29.705197,2025-01-20 19:55:23.362680,0 days 00:15:53.657483,3,0.30000000000000004,16,0.15000000000000002,256,0.45,56,1,0.0001254011186265777,2,1300,3,COMPLETE
70,0.48376598954200745,0.3677571415901184,2025-01-20 19:55:23.363582,2025-01-20 20:05:37.954424,0 days 00:10:14.590842,5,0.0,64,0.25,265,0.4,84,1,0.00029633397132233574,2,500,2,COMPLETE
71,0.5099295377731323,0.3547481894493103,2025-01-20 20:05:37.955247,2025-01-20 20:14:09.953500,0 days 00:08:31.998253,3,0.25,32,0.2,233,0.2,90,0,0.00034423588189256253,2,2000,2,COMPLETE
72,0.49296998977661133,0.3590918481349945,2025-01-20 20:14:09.954408,2025-01-20 20:34:52.898713,0 days 00:20:42.944305,4,0.05,32,0.5,237,0.5,81,1,0.0001728553674617025,2,1500,5,COMPLETE
73,0.4717545509338379,0.3706035315990448,2025-01-20 20:34:52.899853,2025-01-20 20:43:52.277647,0 days 00:08:59.377794,3,0.2,128,0.4,156,0.1,68,1,0.00023179040823119397,2,300,4,COMPLETE
74,0.5043932795524597,0.357532262802124,2025-01-20 20:43:52.278564,2025-01-20 20:53:27.758849,0 days 00:09:35.480285,3,0.35000000000000003,32,0.2,284,0.30000000000000004,100,0,0.0003295456839594995,2,700,2,COMPLETE
75,0.4130721986293793,0.3908308744430542,2025-01-20 20:53:27.759948,2025-01-20 21:02:47.296471,0 days 00:09:19.536523,4,0.25,32,0.15000000000000002,238,0.25,88,1,0.0004035626715153349,2,1900,2,COMPLETE
