number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
29,0.5615229358591668,0.3434241698295494,2024-12-11 21:37:34.994957,2024-12-11 21:38:08.368255,0 days 00:00:33.373298,64,0.25,0.0009917905381803909,2,100,COMPLETE
30,0.5394680551780053,0.3514524450964729,2024-12-11 21:38:08.375289,2024-12-11 21:38:38.430022,0 days 00:00:30.054733,32,0.0,0.0007913527885868895,2,800,COMPLETE
31,0.567502983291938,0.3328979044113485,2024-12-11 21:38:38.438657,2024-12-11 21:39:42.631610,0 days 00:01:04.192953,16,0.05,0.0008785791951577613,2,200,COMPLETE
32,0.5207167122375868,0.384774619596401,2024-12-11 21:39:42.638865,2024-12-11 21:40:16.860474,0 days 00:00:34.221609,16,0.4,0.0006934240012385472,2,600,COMPLETE
33,0.48701120968325784,0.3794687871643307,2024-12-11 21:40:16.868450,2024-12-11 21:40:37.668654,0 days 00:00:20.800204,64,0.05,0.0003801898387994459,1,500,COMPLETE
34,0.5515516673679783,0.3508695578812429,2024-12-11 21:40:37.673913,2024-12-11 21:41:33.853021,0 days 00:00:56.179108,16,0.25,0.0005485487314081601,2,800,COMPLETE
35,0.522757542975808,0.3654719932083041,2024-12-11 21:41:33.862001,2024-12-11 21:42:24.676992,0 days 00:00:50.814991,16,0.1,0.0008701269254835963,1,400,COMPLETE
36,0.510788059029418,0.37262818731473496,2024-12-11 21:42:24.678100,2024-12-11 21:43:11.701826,0 days 00:00:47.023726,32,0.30000000000000004,0.0009997639923523941,1,1700,COMPLETE
37,0.5026032761211877,0.38197295147636456,2024-12-11 21:43:11.708255,2024-12-11 21:43:45.977862,0 days 00:00:34.269607,16,0.4,0.00044826313174560196,2,700,COMPLETE
38,0.5096523744252436,0.37077651820598445,2024-12-11 21:43:45.985955,2024-12-11 21:44:26.419654,0 days 00:00:40.433699,64,0.5,0.0006277149922571973,1,1600,COMPLETE
39,0.5318981254772486,0.36428003813903687,2024-12-11 21:44:26.425415,2024-12-11 21:44:59.784568,0 days 00:00:33.359153,16,0.4,0.0007471064677882818,2,400,COMPLETE
40,0.5120184665645431,0.37180668206539413,2024-12-11 21:44:59.788990,2024-12-11 21:45:45.711798,0 days 00:00:45.922808,16,0.30000000000000004,0.0002915415757216525,1,1200,COMPLETE
41,0.5709804081471018,0.33385314718189485,2024-12-11 21:45:45.716940,2024-12-11 21:46:59.535465,0 days 00:01:13.818525,16,0.05,0.0006749544680841838,2,600,COMPLETE
42,0.5820897513476893,0.32457995188995076,2024-12-11 21:46:59.536473,2024-12-11 21:48:40.562816,0 days 00:01:41.026343,16,0.05,0.0007715818478419178,2,600,COMPLETE
43,0.5566036906659657,0.3427836937191133,2024-12-11 21:48:40.570411,2024-12-11 21:49:25.681582,0 days 00:00:45.111171,32,0.1,0.000828428072379952,2,900,COMPLETE
44,0.5748620204914634,0.3271385910746251,2024-12-11 21:49:25.682572,2024-12-11 21:50:53.928845,0 days 00:01:28.246273,16,0.0,0.0007774145155069202,2,200,COMPLETE
45,0.5485855958777472,0.35259672191651464,2024-12-11 21:50:53.935782,2024-12-11 21:51:25.296544,0 days 00:00:31.360762,64,0.05,0.0005600514661005632,2,400,COMPLETE
46,0.5186191444876688,0.3655682759391704,2024-12-11 21:51:25.303515,2024-12-11 21:52:11.501727,0 days 00:00:46.198212,16,0.1,0.0008792354825140966,1,600,COMPLETE
47,0.5353182586187775,0.35127050936370297,2024-12-11 21:52:11.502647,2024-12-11 21:53:10.264177,0 days 00:00:58.761530,32,0.0,0.00037204444056776324,2,900,COMPLETE
48,0.5598891719596473,0.3322225018210977,2024-12-11 21:53:10.265197,2024-12-11 21:54:27.422192,0 days 00:01:17.156995,16,0.05,0.0007453495360343274,3,1900,COMPLETE
49,0.547328372109409,0.3495669763087879,2024-12-11 21:54:27.423193,2024-12-11 21:55:03.392550,0 days 00:00:35.969357,64,0.15000000000000002,0.0002853000523745554,2,500,COMPLETE
50,0.581127651875959,0.3278370528599187,2024-12-11 21:55:03.396150,2024-12-11 21:56:05.051329,0 days 00:01:01.655179,16,0.0,0.0009072360289105098,3,700,COMPLETE
51,0.530312596709285,0.36324060748094816,2024-12-11 21:56:05.057583,2024-12-11 21:56:39.500887,0 days 00:00:34.443304,16,0.0,0.00023902703125397838,2,700,COMPLETE
52,0.49656818001530983,0.40682830092707895,2024-12-11 21:56:39.502021,2024-12-11 21:57:13.863103,0 days 00:00:34.361082,16,0.35000000000000003,0.0009122631753919341,2,1400,COMPLETE
53,0.5491608321146086,0.34916096213216685,2024-12-11 21:57:13.867920,2024-12-11 21:57:45.974900,0 days 00:00:32.106980,128,0.1,0.0008534387893150891,3,1100,COMPLETE
54,0.5290400030899395,0.36161353940265945,2024-12-11 21:57:45.986674,2024-12-11 21:58:14.874309,0 days 00:00:28.887635,32,0.05,0.00011617108925364504,2,800,COMPLETE
55,0.5823225887719122,0.33529940480899173,2024-12-11 21:58:14.882252,2024-12-11 21:59:15.768234,0 days 00:01:00.885982,16,0.2,0.000997926300232858,2,200,COMPLETE
56,0.5100279690616287,0.368105632307441,2024-12-11 21:59:15.771790,2024-12-11 21:59:51.198711,0 days 00:00:35.426921,128,0.2,0.00032978299780777015,1,200,COMPLETE
57,0.48685150180901415,0.3832516977515885,2024-12-11 21:59:51.203562,2024-12-11 22:00:22.716258,0 days 00:00:31.512696,16,0.45,0.0007798418518242424,3,300,COMPLETE
58,0.529402575280648,0.36098742714928234,2024-12-11 22:00:22.717285,2024-12-11 22:00:52.449174,0 days 00:00:29.731889,64,0.15000000000000002,0.0002186442589115916,2,1000,COMPLETE
59,0.561763855192854,0.33889293183132796,2024-12-11 22:00:52.450001,2024-12-11 22:02:06.497730,0 days 00:01:14.047729,16,0.1,0.0006467032115510284,2,1200,COMPLETE
60,0.5282572319862734,0.3603906912211984,2024-12-11 22:02:06.502610,2024-12-11 22:02:40.079712,0 days 00:00:33.577102,128,0.0,0.0007169170785317476,3,1800,COMPLETE
61,0.5606218855888246,0.33686658640124156,2024-12-11 22:02:40.091605,2024-12-11 22:03:34.749876,0 days 00:00:54.658271,16,0.05,0.0009718615241026345,2,700,COMPLETE
62,0.5776983306554111,0.3276538709750232,2024-12-11 22:03:34.758027,2024-12-11 22:04:52.274527,0 days 00:01:17.516500,16,0.05,0.0009297307097306851,2,500,COMPLETE
63,0.5354924506034514,0.3647259453138756,2024-12-11 22:04:52.281831,2024-12-11 22:05:23.787430,0 days 00:00:31.505599,32,0.35000000000000003,0.0005185868680365668,2,600,COMPLETE
64,0.5291010500137963,0.3651601849439587,2024-12-11 22:05:23.795326,2024-12-11 22:06:21.075131,0 days 00:00:57.279805,16,0.0,0.00016352065856747053,2,2000,COMPLETE
65,0.562392812596508,0.3407903548739675,2024-12-11 22:06:21.076185,2024-12-11 22:07:10.345904,0 days 00:00:49.269719,16,0.1,0.0006066221839613,2,800,COMPLETE
66,0.47612546651335236,0.3905508558934992,2024-12-11 22:07:10.354890,2024-12-11 22:07:32.169167,0 days 00:00:21.814277,128,0.05,0.0008380177078373886,1,600,COMPLETE
67,0.5299487959623407,0.35813082221351566,2024-12-11 22:07:32.175596,2024-12-11 22:07:58.562632,0 days 00:00:26.387036,64,0.0,0.00013727743397043036,2,500,COMPLETE
68,0.5480493056318265,0.3471074542450293,2024-12-11 22:07:58.570050,2024-12-11 22:09:05.384970,0 days 00:01:06.814920,16,0.2,0.0009180057248784885,3,1500,COMPLETE
69,0.5298517587902476,0.35780433482236823,2024-12-11 22:09:05.385907,2024-12-11 22:09:48.583131,0 days 00:00:43.197224,32,0.1,0.0001258153995146141,2,300,COMPLETE
70,0.5487521307636903,0.3526846300072112,2024-12-11 22:09:48.587787,2024-12-11 22:10:32.085438,0 days 00:00:43.497651,16,0.25,0.000990643551399022,2,400,COMPLETE
71,0.5659688452891324,0.3296545740183757,2024-12-11 22:10:32.092935,2024-12-11 22:11:56.266749,0 days 00:01:24.173814,16,0.0,0.0007848944698390254,2,700,COMPLETE
72,0.5267264600905079,0.37984538056646594,2024-12-11 22:11:56.274774,2024-12-11 22:12:30.775583,0 days 00:00:34.500809,16,0.5,0.0004212713598748039,2,700,COMPLETE
73,0.5271645626554686,0.36661262384121734,2024-12-11 22:12:30.783449,2024-12-11 22:13:33.522472,0 days 00:01:02.739023,16,0.05,0.00011029318204160812,2,1600,COMPLETE
74,0.5302439632882678,0.3587860568039276,2024-12-11 22:13:33.531488,2024-12-11 22:13:57.168852,0 days 00:00:23.637364,128,0.0,0.0007604659363555124,2,400,COMPLETE
75,0.5121949694811377,0.3689584792234807,2024-12-11 22:13:57.176974,2024-12-11 22:14:28.960584,0 days 00:00:31.783610,64,0.15000000000000002,0.0006944166833231536,1,100,COMPLETE
76,0.5728356765560948,0.33285644378422435,2024-12-11 22:14:28.964049,2024-12-11 22:15:37.240620,0 days 00:01:08.276571,16,0.05,0.0008957434621706411,2,600,COMPLETE
77,0.5164062645107675,0.3827888669590777,2024-12-11 22:15:37.248276,2024-12-11 22:16:10.661697,0 days 00:00:33.413421,16,0.4,0.0008172665542131894,3,200,COMPLETE
78,0.5133293912827444,0.39108843528929005,2024-12-11 22:16:10.668141,2024-12-11 22:16:40.026774,0 days 00:00:29.358633,32,0.45,0.0005861027639837833,2,900,COMPLETE
79,0.5358272545379672,0.35889691290602316,2024-12-11 22:16:40.027693,2024-12-11 22:17:21.879841,0 days 00:00:41.852148,16,0.30000000000000004,0.00018921111846495256,2,800,COMPLETE
80,0.500342374321029,0.38432489429614786,2024-12-11 22:17:21.883800,2024-12-11 22:17:53.415580,0 days 00:00:31.531780,64,0.1,0.0006467495426309188,1,500,COMPLETE
81,0.5679784439494624,0.3370270574293416,2024-12-11 22:17:53.417992,2024-12-11 22:18:45.897991,0 days 00:00:52.479999,16,0.05,0.0009042156915549952,2,500,COMPLETE
82,0.5778858381904366,0.32547064820063315,2024-12-11 22:18:45.905526,2024-12-11 22:20:10.256885,0 days 00:01:24.351359,16,0.0,0.000966499652665007,2,700,COMPLETE
83,0.5724221581233462,0.3286175429300475,2024-12-11 22:20:10.264650,2024-12-11 22:21:25.326303,0 days 00:01:15.061653,16,0.05,0.0009291616469280216,2,600,COMPLETE
84,0.5332214095001441,0.35898250485849276,2024-12-11 22:21:25.327297,2024-12-11 22:21:55.782796,0 days 00:00:30.455499,128,0.05,0.0009955037427744344,2,1400,COMPLETE
85,0.5479803079925694,0.34399246665016736,2024-12-11 22:21:55.791888,2024-12-11 22:23:09.240616,0 days 00:01:13.448728,16,0.1,0.00048291811710478885,2,1900,COMPLETE
86,0.575229423377042,0.32390046010616513,2024-12-11 22:23:09.249490,2024-12-11 22:24:49.758996,0 days 00:01:40.509506,32,0.05,0.0008497909061541771,3,1300,COMPLETE
87,0.4843062558390138,0.39113185225042885,2024-12-11 22:24:49.765036,2024-12-11 22:25:23.458082,0 days 00:00:33.693046,32,0.5,0.00030019435993928274,3,700,COMPLETE
88,0.5014023318000552,0.3753705899334439,2024-12-11 22:25:23.463934,2024-12-11 22:25:49.822361,0 days 00:00:26.358427,64,0.1,0.0002647337304293314,1,400,COMPLETE
89,0.5334041610378012,0.3581385995611522,2024-12-11 22:25:49.823120,2024-12-11 22:26:22.861508,0 days 00:00:33.038388,128,0.25,0.0003681995152262059,3,1300,COMPLETE
90,0.5660150719378751,0.36749681654671607,2024-12-11 22:26:22.872884,2024-12-11 22:27:14.879760,0 days 00:00:52.006876,16,0.35000000000000003,0.0008584283656218186,2,500,COMPLETE
91,0.5775054012858274,0.33069604102848,2024-12-11 22:27:14.883298,2024-12-11 22:28:38.328472,0 days 00:01:23.445174,16,0.05,0.0009541698878109001,2,600,COMPLETE
92,0.5241818994786565,0.36475079239353747,2024-12-11 22:28:38.335740,2024-12-11 22:29:25.405967,0 days 00:00:47.070227,32,0.05,0.00031584044275402947,2,1600,COMPLETE
93,0.5352692065255533,0.3654013933700027,2024-12-11 22:29:25.407060,2024-12-11 22:30:04.892763,0 days 00:00:39.485703,16,0.30000000000000004,0.0007248562250388527,1,700,COMPLETE
94,0.5595323453048798,0.3365159537530698,2024-12-11 22:30:04.895225,2024-12-11 22:31:15.562871,0 days 00:01:10.667646,16,0.0,0.0008442530582568735,2,1100,COMPLETE
95,0.5582869629835668,0.3470720122548033,2024-12-11 22:31:15.563758,2024-12-11 22:32:06.223885,0 days 00:00:50.660127,64,0.15000000000000002,0.000801469039337125,2,900,COMPLETE
96,0.521434918290699,0.37520840327645166,2024-12-11 22:32:06.232058,2024-12-11 22:32:41.192432,0 days 00:00:34.960374,16,0.45,0.0005352571626441923,2,500,COMPLETE
97,0.5409021445029666,0.355915516640949,2024-12-11 22:32:41.198165,2024-12-11 22:33:20.019808,0 days 00:00:38.821643,128,0.05,0.0003481028448912739,3,1800,COMPLETE
98,0.5027037486313581,0.3764774799349517,2024-12-11 22:33:20.032272,2024-12-11 22:33:58.317572,0 days 00:00:38.285300,32,0.2,0.000417469887835143,1,800,COMPLETE
99,0.5692461556827701,0.3320200794596108,2024-12-11 22:33:58.318712,2024-12-11 22:35:08.692112,0 days 00:01:10.373400,16,0.1,0.0009465755819577075,2,600,COMPLETE
