number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
28,0.4940529153760403,0.3770919144153595,2024-12-20 22:29:31.558124,2024-12-20 22:36:41.490257,0 days 00:07:09.932133,True,norm,64,3,0.2,0.05,400,100,0.0002792518371584423,3,10,COMPLETE
29,0.7107840272352269,0.2716098725795746,2024-12-20 22:36:41.518061,2024-12-20 22:46:13.518836,0 days 00:09:32.000775,True,norm,64,3,0.30000000000000004,0.05,700,500,0.00012157166347279861,3,8,COMPLETE
30,0.6203140579443048,0.3066987693309784,2024-12-20 22:46:13.533540,2024-12-20 22:52:20.372858,0 days 00:06:06.839318,True,norm,64,3,0.1,0.05,700,500,0.00012506741783781096,3,8,COMPLETE
31,0.625073239830315,0.28435251116752625,2024-12-20 22:52:20.403928,2024-12-20 22:59:33.841263,0 days 00:07:13.437335,True,sum,64,3,0.0,0.25,1000,400,0.0005085690736716749,5,8,COMPLETE
32,0.4995427462909893,0.5791234970092773,2024-12-20 22:59:33.845955,2024-12-20 23:06:35.676899,0 days 00:07:01.830944,True,norm,16,5,0.05,0.15000000000000002,1000,300,0.0002839176421909563,3,9,COMPLETE
33,0.6652034313983562,0.2796158492565155,2024-12-20 23:06:35.685109,2024-12-20 23:14:20.075242,0 days 00:07:44.390133,True,sum,64,3,0.0,0.25,1000,400,0.0005077114549196447,3,8,COMPLETE
34,0.5557613040482876,0.33131131529808044,2024-12-20 23:14:20.107309,2024-12-20 23:21:36.109758,0 days 00:07:16.002449,True,norm,64,3,0.4,0.5,800,200,0.00023729905545492297,3,8,COMPLETE
35,0.6264529761600757,0.3041568398475647,2024-12-20 23:21:36.141766,2024-12-20 23:30:06.677640,0 days 00:08:30.535874,True,norm,64,4,0.45,0.1,900,100,0.00017840500538264436,4,7,COMPLETE
36,0.4964396139479045,0.38795381784439087,2024-12-20 23:30:06.706807,2024-12-20 23:36:48.944284,0 days 00:06:42.237477,True,sum,32,3,0.45,0.35000000000000003,700,400,0.0001833394723020952,3,10,COMPLETE
37,0.20202402946135473,0.5024883151054382,2024-12-20 23:36:48.948641,2024-12-20 23:44:58.092535,0 days 00:08:09.143894,True,norm,64,4,0.30000000000000004,0.45,900,2000,0.00021443252647973014,3,6,COMPLETE
38,0.34781725918702144,0.6115979552268982,2024-12-20 23:44:58.095613,2024-12-20 23:52:38.498876,0 days 00:07:40.403263,True,norm,64,5,0.05,0.15000000000000002,500,700,0.00014080172818840668,4,9,COMPLETE
39,0.5883602654843979,0.33451905846595764,2024-12-20 23:52:38.537036,2024-12-21 00:01:10.207991,0 days 00:08:31.670955,True,sum,32,3,0.4,0.1,200,300,0.00015776683749836847,3,8,COMPLETE
40,0.3154196341120129,0.47075921297073364,2024-12-21 00:01:10.245916,2024-12-21 00:13:22.705681,0 days 00:12:12.459765,True,norm,64,1,0.1,0.25,1000,1000,0.00012091256891075731,4,10,COMPLETE
41,0.3000051510636763,0.4484908878803253,2024-12-21 00:13:22.740167,2024-12-21 00:20:50.372896,0 days 00:07:27.632729,True,sum,16,4,0.15000000000000002,0.05,800,500,0.00016757415348256358,5,5,COMPLETE
42,0.670290732484121,0.30291202664375305,2024-12-21 00:20:50.384916,2024-12-21 00:29:36.749504,0 days 00:08:46.364588,True,norm,64,3,0.0,0.35000000000000003,900,200,0.00031205841804876904,3,7,COMPLETE
43,0.5445679935268916,0.45454418659210205,2024-12-21 00:29:36.754002,2024-12-21 00:36:52.591256,0 days 00:07:15.837254,True,norm,64,3,0.2,0.35000000000000003,900,200,0.00032911712058130403,3,7,COMPLETE
44,0.6927428017200361,0.2705744206905365,2024-12-21 00:36:52.593191,2024-12-21 00:44:29.929191,0 days 00:07:37.336000,True,norm,64,3,0.15000000000000002,0.2,300,200,0.00014088039505169144,3,8,COMPLETE
45,0.5603776988155512,0.33035823702812195,2024-12-21 00:44:29.963538,2024-12-21 00:52:22.578965,0 days 00:07:52.615427,True,norm,32,1,0.2,0.2,700,300,0.000993212349547099,2,9,COMPLETE
46,0.5866736293467236,0.3485136330127716,2024-12-21 00:52:22.590882,2024-12-21 00:58:17.873338,0 days 00:05:55.282456,True,sum,64,3,0.15000000000000002,0.0,500,100,0.00014060853552899376,3,4,COMPLETE
47,0.2808917875104113,0.4420173466205597,2024-12-21 00:58:17.884791,2024-12-21 01:09:01.288377,0 days 00:10:43.403586,True,norm,16,3,0.25,0.15000000000000002,600,600,0.0005988289485621583,3,6,COMPLETE
48,0.511988999091998,0.3498777151107788,2024-12-21 01:09:01.291633,2024-12-21 01:16:50.231729,0 days 00:07:48.940096,True,norm,64,2,0.15000000000000002,0.30000000000000004,300,1900,0.00011598123717202189,1,8,COMPLETE
49,,,2024-12-21 01:16:50.284035,2024-12-21 01:28:48.351714,0 days 00:11:58.067679,False,sum,32,5,0.25,0.4,800,900,0.00013294036217537206,2,6,FAIL
50,0.0006775897381021953,0.5654650330543518,2024-12-21 01:28:48.355264,2024-12-21 01:37:23.217369,0 days 00:08:34.862105,False,sum,32,5,0.25,0.4,800,900,0.0001331763636622461,2,6,COMPLETE
51,0.642481678841355,0.32097166776657104,2024-12-21 01:37:23.220116,2024-12-21 01:45:47.007637,0 days 00:08:23.787521,True,norm,64,1,0.30000000000000004,0.15000000000000002,600,400,0.00018644515795669442,3,5,COMPLETE
52,0.5450770286956662,0.39811649918556213,2024-12-21 01:45:47.009944,2024-12-21 01:55:22.886259,0 days 00:09:35.876315,False,norm,16,2,0.2,0.1,200,200,0.00011275844980997209,5,10,COMPLETE
53,0.30018641044139865,0.458484023809433,2024-12-21 01:55:22.890718,2024-12-21 02:02:32.971249,0 days 00:07:10.080531,True,sum,64,3,0.1,0.25,1000,1300,0.0003682500738717506,3,4,COMPLETE
54,0.6609492807652658,0.3013005256652832,2024-12-21 02:02:33.016054,2024-12-21 02:11:20.655443,0 days 00:08:47.639389,True,norm,64,3,0.15000000000000002,0.45,900,200,0.0007014157699487936,3,8,COMPLETE
55,0.6208149155303488,0.3584478795528412,2024-12-21 02:11:20.657953,2024-12-21 02:23:13.421810,0 days 00:11:52.763857,False,norm,64,3,0.25,0.2,300,100,0.00016012211494858094,3,7,COMPLETE
56,0.36196270051521984,0.8072773814201355,2024-12-21 02:23:13.424223,2024-12-21 02:35:19.060178,0 days 00:12:05.635955,True,mean,32,4,0.5,0.05,700,1600,0.00013453690954450665,1,9,COMPLETE
57,0.5681543476121894,0.35797712206840515,2024-12-21 02:35:19.109387,2024-12-21 02:44:19.952759,0 days 00:09:00.843372,False,norm,128,2,0.2,0.30000000000000004,800,300,0.0003973018095983227,4,7,COMPLETE
58,0.3648384374971053,0.43766480684280396,2024-12-21 02:44:19.955613,2024-12-21 02:52:24.805437,0 days 00:08:04.849824,True,mean,16,3,0.30000000000000004,0.4,100,600,0.00011049842978337283,2,8,COMPLETE
59,0.42892386057137205,0.39297807216644287,2024-12-21 02:52:24.814224,2024-12-21 03:01:54.767063,0 days 00:09:29.952839,False,norm,64,3,0.2,0.0,600,1100,0.00019855021155219094,4,8,COMPLETE
60,0.7868700126925813,0.2301062047481537,2024-12-21 03:01:54.806997,2024-12-21 03:09:21.419459,0 days 00:07:26.612462,True,norm,64,4,0.15000000000000002,0.15000000000000002,900,100,0.0007791716439760334,3,2,COMPLETE
61,0.6486845609511039,0.3380940556526184,2024-12-21 03:09:21.421416,2024-12-21 03:19:22.122145,0 days 00:10:00.700729,True,mean,128,4,0.25,0.15000000000000002,800,100,0.00015549529853466825,2,2,COMPLETE
62,0.5846657754614435,0.353417307138443,2024-12-21 03:19:22.124245,2024-12-21 03:33:07.179905,0 days 00:13:45.055660,False,sum,64,2,0.15000000000000002,0.05,1000,400,0.0008230818570130147,3,6,COMPLETE
63,0.5070709651655522,0.4033896327018738,2024-12-21 03:33:07.184698,2024-12-21 03:40:25.177230,0 days 00:07:17.992532,True,norm,32,4,0.25,0.2,900,1800,0.00012626326774288938,1,5,COMPLETE
64,0.7154186582772649,0.2611972689628601,2024-12-21 03:40:25.218728,2024-12-21 03:47:49.104060,0 days 00:07:23.885332,True,norm,64,3,0.0,0.1,900,200,0.0003020945887815232,3,9,COMPLETE
65,0.604511808435294,0.3329463303089142,2024-12-21 03:47:49.146388,2024-12-21 03:55:16.545119,0 days 00:07:27.398731,True,norm,64,3,0.2,0.15000000000000002,400,100,0.00047830014053263053,3,9,COMPLETE
66,0.5260270162333602,0.3472953140735626,2024-12-21 03:55:16.587648,2024-12-21 04:03:42.842114,0 days 00:08:26.254466,False,mean,16,5,0.15000000000000002,0.1,700,200,0.00023091616831411867,3,10,COMPLETE
67,0.32251763111908127,0.4276151955127716,2024-12-21 04:03:42.862842,2024-12-21 04:16:28.076968,0 days 00:12:45.214126,True,norm,128,3,0.1,0.2,300,1400,0.00014555553002574195,5,3,COMPLETE
68,0.6641572949082429,0.2890641689300537,2024-12-21 04:16:28.079557,2024-12-21 04:24:00.982498,0 days 00:07:32.902941,True,norm,64,2,0.2,0.1,500,300,0.00010756010008361083,2,2,COMPLETE
69,0.4868352570233303,0.3656163513660431,2024-12-21 04:24:01.020680,2024-12-21 04:32:37.001725,0 days 00:08:35.981045,False,sum,64,1,0.35000000000000003,0.15000000000000002,1000,200,0.00012035402812231128,4,6,COMPLETE
70,0.5149148412357522,0.351907879114151,2024-12-21 04:32:37.038214,2024-12-21 04:40:27.708863,0 days 00:07:50.670649,True,mean,64,3,0.4,0.1,700,800,0.0001720816873334257,3,7,COMPLETE
71,0.6039140787304146,0.361174076795578,2024-12-21 04:40:27.711102,2024-12-21 04:49:16.639187,0 days 00:08:48.928085,True,norm,128,3,0.05,0.5,900,1500,0.0002532729330629836,3,4,COMPLETE
72,0.5103839338076963,0.36878734827041626,2024-12-21 04:49:16.676304,2024-12-21 04:55:11.855186,0 days 00:05:55.178882,True,norm,32,2,0.30000000000000004,0.15000000000000002,100,100,0.00021113561900383662,4,5,COMPLETE
73,,,2024-12-21 04:55:11.856841,2024-12-21 05:04:00.765893,0 days 00:08:48.909052,False,sum,16,4,0.2,0.25,1000,1000,0.00015117752818556108,2,9,FAIL
74,,,2024-12-21 05:04:00.768927,2024-12-21 05:11:28.718470,0 days 00:07:27.949543,False,sum,16,4,0.45,0.45,1000,1200,0.00019471664274786375,2,9,FAIL
75,0.3101438479346588,0.47289761900901794,2024-12-21 05:11:28.747445,2024-12-21 05:20:56.495144,0 days 00:09:27.747699,False,sum,16,4,0.2,0.25,1000,1300,0.00014993906129716583,2,9,COMPLETE
76,0.830158498373737,0.23145928978919983,2024-12-21 05:20:56.531079,2024-12-21 05:30:54.433045,0 days 00:09:57.901966,True,norm,64,3,0.0,0.15000000000000002,900,200,0.000289333451359302,3,8,COMPLETE
77,0.5043233429365562,0.42213010787963867,2024-12-21 05:30:54.435553,2024-12-21 05:38:08.908936,0 days 00:07:14.473383,True,norm,64,5,0.45,0.15000000000000002,900,1000,0.00019584659879151557,3,8,COMPLETE
78,,,2024-12-21 05:38:08.913868,2024-12-21 05:46:15.777938,0 days 00:08:06.864070,True,norm,64,3,0.25,0.2,800,1900,0.0001058776298080284,5,8,FAIL
79,,,2024-12-21 05:46:15.782384,2024-12-21 05:55:56.923807,0 days 00:09:41.141423,True,norm,64,3,0.25,0.2,800,1900,0.0001070065092565941,5,8,FAIL
80,,,2024-12-21 05:55:56.957610,2024-12-21 06:03:52.151284,0 days 00:07:55.193674,True,norm,64,3,0.25,0.45,800,1900,0.00012587093961834208,5,8,FAIL
81,0.5944102793996248,0.303607314825058,2024-12-21 06:03:52.154024,2024-12-21 06:11:04.588763,0 days 00:07:12.434739,True,norm,64,3,0.25,0.45,800,100,0.00013119787614248118,5,8,COMPLETE
82,0.44434613190732763,0.3869505226612091,2024-12-21 06:11:04.591618,2024-12-21 06:17:40.290473,0 days 00:06:35.698855,True,mean,64,3,0.1,0.2,900,300,0.00010106724530604249,3,8,COMPLETE
83,0.49132712120970434,0.36287763714790344,2024-12-21 06:17:40.294890,2024-12-21 06:27:09.199264,0 days 00:09:28.904374,False,norm,128,3,0.2,0.15000000000000002,900,500,0.00017125931896629218,4,8,COMPLETE
84,0.713071016500546,0.2749878466129303,2024-12-21 06:27:09.201263,2024-12-21 06:35:56.476503,0 days 00:08:47.275240,True,norm,64,3,0.15000000000000002,0.1,800,200,0.0002679544083115716,3,9,COMPLETE
85,0.6314513337555583,0.33967867493629456,2024-12-21 06:35:56.521502,2024-12-21 06:45:12.840031,0 days 00:09:16.318529,True,norm,64,2,0.15000000000000002,0.2,800,800,0.00029986534182285324,3,9,COMPLETE
86,0.5290823501055613,0.36219385266304016,2024-12-21 06:45:12.882686,2024-12-21 06:53:23.767559,0 days 00:08:10.884873,True,norm,32,1,0.5,0.1,800,200,0.00012382305463052256,2,7,COMPLETE
87,,,2024-12-21 06:53:23.772198,2024-12-21 07:02:01.367368,0 days 00:08:37.595170,False,mean,16,4,0.2,0.2,900,1700,0.0001086249960465778,3,7,FAIL
88,,,2024-12-21 07:02:01.382757,2024-12-21 07:10:37.102242,0 days 00:08:35.719485,False,mean,16,4,0.2,0.2,900,1700,0.00022785794526789064,3,7,FAIL
89,,,2024-12-21 07:10:37.136047,2024-12-21 07:21:00.582040,0 days 00:10:23.445993,False,mean,16,4,0.2,0.2,900,2000,0.00014131937537990586,3,7,FAIL
90,0.7619615574430199,0.23340776562690735,2024-12-21 07:21:00.620490,2024-12-21 07:33:37.263686,0 days 00:12:36.643196,False,mean,16,4,0.2,0.2,900,100,0.0002708744486496458,3,8,COMPLETE
91,0.3732114195332504,0.42296847701072693,2024-12-21 07:33:37.265813,2024-12-21 07:41:04.811166,0 days 00:07:27.545353,False,mean,16,4,0.25,0.4,900,100,0.00010729354921087802,3,7,COMPLETE
92,0.2638353437480108,0.4521927237510681,2024-12-21 07:41:04.813134,2024-12-21 07:52:50.419049,0 days 00:11:45.605915,True,norm,64,3,0.15000000000000002,0.15000000000000002,1000,2000,0.00022429156922434322,3,8,COMPLETE
93,0.6430729819002264,0.37093278765678406,2024-12-21 07:52:50.422596,2024-12-21 08:01:11.552548,0 days 00:08:21.129952,True,sum,64,3,0.2,0.1,400,1700,0.00013845053297445925,1,3,COMPLETE
94,0.6713908095157191,0.2883380651473999,2024-12-21 08:01:11.568329,2024-12-21 08:08:30.167907,0 days 00:07:18.599578,True,norm,64,3,0.2,0.2,900,100,0.00011595321613029765,3,9,COMPLETE
95,0.6731453377275768,0.3051636815071106,2024-12-21 08:08:30.169418,2024-12-21 08:16:43.603834,0 days 00:08:13.434416,True,norm,128,3,0.25,0.15000000000000002,1000,200,0.00024588924458909025,3,9,COMPLETE
96,0.5724903237060882,0.3879060447216034,2024-12-21 08:16:43.619260,2024-12-21 08:25:16.779286,0 days 00:08:33.160026,False,norm,64,3,0.4,0.30000000000000004,800,300,0.00034477847777980136,2,8,COMPLETE
97,0.04838605099445781,0.5305303931236267,2024-12-21 08:25:16.782537,2024-12-21 08:32:05.018287,0 days 00:06:48.235750,True,mean,32,5,0.45,0.15000000000000002,200,700,0.0001438367975246207,5,8,COMPLETE
98,0.6573136456638139,0.2883200943470001,2024-12-21 08:32:05.020765,2024-12-21 08:40:58.858689,0 days 00:08:53.837924,True,sum,16,1,0.15000000000000002,0.1,1000,100,0.0002684511106244162,4,7,COMPLETE
99,0.7525297213039203,0.26543334126472473,2024-12-21 08:40:58.941172,2024-12-21 08:51:14.246855,0 days 00:10:15.305683,False,norm,64,4,0.0,0.25,900,200,0.00015454173336079265,3,8,COMPLETE
