MAE,MSE,RMSE,R,R2,SPR
0.30013814423731067,0.16762949145665307,0.40942580702326653,0.8181879265881411,0.6694314832146013,0.7934281647303726
0.2950425052659856,0.16099607663350582,0.4012431639710586,0.8263644358836739,0.6828781808933426,0.800717963600048
0.2979040434931683,0.16436494650700387,0.405419469817378,0.8222545748492514,0.6761025858605231,0.7941022739431984
0.30071775503151577,0.16594042270670745,0.4073578558303589,0.8203673922057548,0.6730026581944708,0.7904060219126026
0.29676942131516837,0.16219829414128825,0.40273849349334395,0.8248792630045677,0.6804257985349588,0.7937267150226811
0.29584369992521736,0.16168625466865982,0.4021022937868669,0.8256275022594305,0.6816607724871458,0.7982237757249347
0.2924938159553371,0.16097100913167153,0.4012119254604373,0.826309386583878,0.6827872023566247,0.8002242167006586
0.29904918068697295,0.16681341529335086,0.4084279805465718,0.8191931962747143,0.6710774928227826,0.7924195138242647
0.2979681212152706,0.1634082781512445,0.40423789796510234,0.823424443853598,0.6780278147356072,0.7975451270561303
0.29260995014605423,0.159120375864991,0.39889895445462253,0.828489106580677,0.6863941997228483,0.7994309467683938
0.2932783688151802,0.1615131863890623,0.4018870318747077,0.8255901591860259,0.6815991109448075,0.8036166494275421
0.29842159960015335,0.16300603289441193,0.4037400560935364,0.8240756475002923,0.679100672803026,0.7966932495047129
0.29600110648158984,0.16311562220234602,0.40387575094618644,0.8238657543019042,0.6787547811114456,0.7941950896056186
0.2917858114361627,0.15765552256029997,0.397058588322051,0.8304640276684018,0.689670501251224,0.7993338348351366
0.2944639478365201,0.15982771787757016,0.39978458934477473,0.8277494329259601,0.6851691237092487,0.8007430927313582
0.2950423244563449,0.16182593728039094,0.40227594668385397,0.8252913522943337,0.68110581617181,0.7995848019013836
0.29939614291330585,0.16299018586936753,0.40372043033436833,0.8239852706156641,0.6789517261915692,0.7956538762090354
0.3004993419770093,0.16628594955827763,0.4077817425514262,0.8198872336890042,0.6722150759662078,0.7925767735492384
0.29662865757144236,0.16041119901025305,0.40051366894308743,0.8270631018252699,0.6840333744008368,0.7968326756526278
0.29793654950055254,0.1658310603477462,0.40722359993957397,0.8203457414148511,0.6729671354574817,0.7924542892995295
0.299630869059944,0.16452918537966552,0.40562197349214885,0.822002876951258,0.6756887297161449,0.791240065886961
0.29996834304540665,0.16479101338690993,0.4059445939865562,0.8216377289869027,0.675088557694755,0.7961674021666175
0.3044970441468558,0.16694019881027003,0.4085831602137685,0.8190154988388969,0.6707863873383272,0.7912051282882684
0.29859711845130316,0.1615910712157677,0.4019839191009607,0.8258347334744328,0.6820030070127875,0.7952407046532667
0.29663241107310373,0.1621659356571778,0.402698318418612,0.824761897169348,0.6802321870223822,0.7945113924132721
0.29716210094403334,0.16035709951153285,0.4004461256043475,0.8273368926689094,0.6844863339710465,0.7982540117442211
0.29592885482356934,0.16212809730480954,0.4026513346616518,0.8249810645618613,0.680593756885622,0.7963912946204205
0.2983436433424238,0.16245183491497966,0.40305314155205346,0.8246169988763093,0.6799931948357711,0.7947897583388185
0.29740208847062233,0.16367419624032004,0.40456667712544003,0.8230654843228489,0.6774367914836058,0.7956071846618268
0.2994981183582566,0.16349548690680846,0.40434575168636117,0.8232690894851867,0.6777719937017684,0.7959243791483331
