MAE,MSE,RMSE,R,R2,SPR
0.4211119045539831,0.297781134007782,0.5456932599984922,0.6983768413302186,0.48773021250637333,0.7070120687932299
0.42078327527615283,0.2986551272360891,0.5464934832512545,0.6970325244977073,0.48585434020764684,0.7062803446361439
0.42199345089813456,0.2988835341467821,0.5467024182741302,0.6965779179269594,0.48522079574345783,0.7051495939243306
0.4212401733729836,0.29825144733370285,0.5461240219343064,0.6973852570986885,0.48634619681860386,0.7074119639413812
0.42423040180160726,0.3047911524125729,0.5520789367586604,0.6890581427472989,0.474801124086357,0.6975848032276664
0.4209889654876097,0.299060315524376,0.5468640740845718,0.6963192515282616,0.48486050004887843,0.7044813823712394
0.42165727150329246,0.2980438628427188,0.5459339363354496,0.6976338120643883,0.48669293573549033,0.708727646089442
0.4205330998476343,0.29685014466902354,0.5448395586491711,0.6992307229254024,0.48892360388278094,0.7067497535792183
0.4229704924261465,0.2988879154165127,0.5467064252562912,0.6966351173869969,0.48530048677679494,0.7069812995292143
0.42187069056659826,0.2980259821047457,0.5459175598061906,0.6979220845371217,0.4870952360846412,0.7056109749584875
0.4279746389675484,0.3051402880841245,0.5523950471212831,0.6888855654562994,0.4745633222940454,0.6971413204822441
0.42012900691064564,0.2948373627388578,0.5429892841841889,0.7018226685977984,0.49255505815773515,0.7091301206968521
0.4247076236861896,0.30209356382632374,0.5496303883759738,0.6926776230058161,0.4798022894129876,0.702551262499329
0.42418126752950164,0.30285874410534736,0.5503260343699427,0.6916583899308738,0.4783913283617687,0.6998539640660308
0.42076593868589635,0.2971439568757144,0.545109123823583,0.6988819965767704,0.4884360451391329,0.7049034924542317
0.42257684075316504,0.3020385204566474,0.549580313017713,0.692506337830953,0.47956502793603795,0.7006447788969532
0.41622045812065517,0.29655328951919735,0.54456706613529,0.699756400483476,0.4896590200175908,0.7082307316879448
0.4244029620801486,0.3051758475076226,0.5524272327715413,0.6886787109504713,0.4742783669164028,0.6987871997364432
0.4227549580447733,0.299736050858626,0.5474815529847795,0.6955083180640274,0.48373182049625224,0.7051770467407278
0.422258220061825,0.30077794557062726,0.5484322616063239,0.6941527039740959,0.4818479764345488,0.7009404165132262
0.4224674859801259,0.30004205609923057,0.5477609479501351,0.6950433830763765,0.48308530435825464,0.703129982608748
0.4225351294486113,0.30335510099049223,0.5507768159522441,0.6908663432047765,0.47729630417314,0.6979109732188393
0.41760732657861166,0.29548116771535016,0.5435817948711584,0.7008169370486549,0.4911443792542583,0.7080823338175257
0.4231943008009416,0.2974575782789348,0.5453967164174486,0.6984166167512781,0.48778577055430167,0.7067031390654702
0.42009436212828744,0.2981694023445369,0.5460489010560656,0.6978726773797753,0.48702627383321595,0.7052945174210542
0.42267484407449896,0.2993202538157073,0.5471016850784755,0.6960158693401166,0.4844380903732783,0.7038134340282765
0.4238934658651149,0.3027448893162868,0.550222581612466,0.6916641850032523,0.47839934481621327,0.6981338069135835
0.4240715631686022,0.3001792633514091,0.5478861773684468,0.6948625154601891,0.4828339153916615,0.7056317159166091
0.4244801602603082,0.3009766889873513,0.5486134239948484,0.6942242646537683,0.48194732963406534,0.7026787614855493
0.4239232190170413,0.30221195517733246,0.549738078704152,0.6924212256828566,0.4794471537761494,0.7007540900632978
