MAE,MSE,RMSE,R,R2,SPR
0.4164484883748006,0.30397005576806646,0.5513347946285146,0.6960420565463232,0.484474544481235,0.7094790846851486
0.41641306732524863,0.3035317187185277,0.5509371277364847,0.696457805874881,0.48505347536405347,0.7100352740075725
0.4163302721444737,0.3040245570728692,0.5513842191003195,0.696067182134886,0.48450952204520065,0.7093053133583473
0.4158501936996635,0.3034569456909758,0.5508692637014483,0.6968165720662981,0.4855533351062264,0.7101750649067913
0.4163149205544155,0.3039088757214413,0.5512793082652762,0.6961127402784535,0.48457294717797766,0.709042287476989
0.41560490998599336,0.30265825868848106,0.5501438527226139,0.6974988179849057,0.48650460109034055,0.710863569960786
0.41610373901639397,0.3029917178742375,0.5504468347390487,0.6971185891339013,0.4859743273160412,0.7109369529445974
0.41645114768353847,0.3040588022233942,0.5514152720258972,0.6959685565762305,0.4843722317428017,0.7086366280270247
0.4168102129760967,0.30402335048477536,0.5513831249546683,0.6960519044772489,0.48448825372640514,0.7093333715580399
0.41690332951859443,0.3042094678100663,0.5515518722750076,0.6959165475906849,0.484299841210538,0.7100494610334959
0.41653790374478655,0.30368231748270397,0.5510737858787188,0.6967296807150574,0.4854322479893058,0.7096811511007582
0.41672372501729166,0.30458847212050716,0.5518953452607724,0.6953524739097761,0.4835150629724458,0.7091326475140852
0.4163831052709227,0.30387590902445605,0.5512494072780996,0.6960371530250085,0.48446771839115904,0.7090975089619374
0.41688425060412065,0.3051224862017058,0.5523789335245378,0.6949682613258623,0.48298088425029206,0.7081880653261234
0.4166852337153633,0.30431516586586704,0.5516476827340681,0.6956421928223967,0.48391806043475255,0.7085087079045989
0.4173398872033102,0.3041697650531154,0.5515158792393157,0.6958512478381994,0.48420895911797923,0.7095985294414384
0.41694413056274016,0.30497891845910313,0.5522489641992125,0.6952710459160804,0.4834018272892403,0.709102325707288
0.4169077012570595,0.30436705690474547,0.5516947135008142,0.6956981052016178,0.48399585358112124,0.708898860441079
0.4160355133115827,0.3032743727676869,0.5507035252907746,0.6964287318905488,0.48501297860267784,0.7099554950176398
0.4165205963332056,0.3039006430626055,0.5512718413474477,0.695980601323359,0.48438899741842445,0.7094490260884799
0.4172757019014999,0.30476784223777154,0.5520578250851731,0.6953017737804019,0.4834445566221732,0.709329081232946
0.4168170441722963,0.30434860186932117,0.5516779874794001,0.6955930190121173,0.4838496480983918,0.7092230075511815
0.41731379635902316,0.30546807358032046,0.5526916623039654,0.6943553715572677,0.48212938201043126,0.7077549793807747
0.4164675897986479,0.30409944448048626,0.5514521234708288,0.6962887922360704,0.48481808219356565,0.7092498023422574
0.4157166527568611,0.3023644592006349,0.5498767672857573,0.6978477789651917,0.486991522606651,0.7112863380690996
0.41683534149449625,0.30425301466879695,0.5515913475289446,0.6955917811085374,0.4838479259457474,0.7092607782046139
0.4167752777947958,0.3043846586369626,0.5517106656907791,0.6955310245085046,0.48376340605385,0.7087668643985808
0.41665208189992703,0.30432919351359994,0.5516603969051974,0.6956695264011482,0.48395608996319783,0.7092150586053023
0.41699026137618894,0.30518298923802634,0.5524336966894998,0.6948310049776695,0.48279012547827815,0.7080544598649231
0.416465162778102,0.3047656716972682,0.5520558592183116,0.6952066418772618,0.4833122749102593,0.7089126301677153
