MAE,MSE,RMSE,R,R2,SPR
0.49556164163453825,0.4497675792768841,0.6706471346966929,0.5537203449633227,0.3066062204263011,0.4452583457554628
0.4887458924075653,0.4366087782340521,0.66076378399096,0.5591285576718337,0.31262474400418505,0.4511726094154136
0.49279223491876634,0.45131900075425513,0.6718027990074581,0.5429749410987169,0.2948217866611551,0.43442860122826293
0.49661022982635034,0.4495522594226077,0.6704865840735426,0.5533498646750257,0.30619607273586924,0.44538379497355063
0.4876682672949358,0.43590765155464095,0.6602330282215825,0.5624356672454874,0.31633387978987665,0.44795794586695803
0.49438906268313015,0.444663694553671,0.6668310839737984,0.5574483090372152,0.3107486172484506,0.4385097463893915
0.4946317792259927,0.44005717739166245,0.6633680557516034,0.5530874050946627,0.3059056776743475,0.43530317398748314
0.4889638104058545,0.4362183722051182,0.6604682976533531,0.5593872924572935,0.3129141429627016,0.44050599989697636
0.48788038323708305,0.43766499390572716,0.6615625396783944,0.5548877497604648,0.30790041483423225,0.46416436661459803
0.49133710011989734,0.4364813408671966,0.6606673450891882,0.5614730336410055,0.31525196750603374,0.44333615175140906
0.4808879315831709,0.4329829298123832,0.6580143841986915,0.5636347750549078,0.3176841596511965,0.4518355731797999
0.49159919832800997,0.4414356029776818,0.6644062032956057,0.5547168504953743,0.3077107842235075,0.43381556931419046
0.5013526144062822,0.4555107849444593,0.674915390952421,0.5448853473898501,0.29690004180015755,0.43801698827534513
0.4894457066709968,0.4385834409078199,0.6622563256835075,0.5633977777240047,0.317417055944347,0.4440876078753298
0.49073152060395686,0.4434806720469912,0.6659434450814807,0.5594294331591931,0.31296129068481615,0.44286832311591356
0.49562471919189927,0.44913582003742514,0.6701759619961202,0.5464939908105698,0.29865568199206316,0.42908940775766685
0.4896177712185629,0.4447692236410807,0.6669102065803767,0.551582466978046,0.30424321787758724,0.4466090569763621
0.4745889303542074,0.423193447308182,0.6505332023103678,0.5697321907803518,0.32459476921137914,0.4481560696175465
0.49702585122879894,0.4425541931918452,0.665247467632794,0.5585908500464949,0.3120237377556657,0.46071105068960577
0.4879432268537067,0.4358860445368128,0.6602166648433019,0.5609420747810862,0.31465601125970966,0.4481852997956134
0.4946584186602341,0.45058333458347904,0.6712550443635258,0.5551409847007536,0.30818151289452234,0.45573259008707034
0.4900296531788919,0.4375040744131186,0.6614409077257912,0.5631035002209138,0.3170855519610447,0.45884432841998835
0.49374566046499657,0.4460595036176883,0.6678768626159228,0.5547213575248543,0.3077157844942172,0.44993495556653873
0.4895988625699076,0.44021929771177293,0.6634902393492861,0.5561939540123106,0.3093517144798483,0.45227234930692506
0.4899310231893912,0.4422211897427432,0.6649971351387487,0.5564023478860487,0.30958357273310755,0.440862156131478
0.48850580869007043,0.4251022938073835,0.6519986915687666,0.5692881518313333,0.3240889998155352,0.4576827021913725
0.4882074761675435,0.43838233974871793,0.6621044779705979,0.5602959113228799,0.31393150824513655,0.4444802107158999
0.49336182668633843,0.4461378032177887,0.6679354783343887,0.5531252602553466,0.3059475535325449,0.45362451839206713
0.49425761269448304,0.44471714081769437,0.6668711575842026,0.5541878295626492,0.30712415043535995,0.432572229794769
0.4871285826460212,0.430747416664544,0.6563135048622297,0.567531962618529,0.3220925285936394,0.4582684720441057
