MAE,MSE,RMSE,R,R2,SPR
0.41652664228607433,0.3673104508217188,0.6060614249576678,0.5871896886857504,0.34479173049886847,0.5264325183641176
0.42069945064819264,0.37107142170087565,0.6091563195936456,0.5811819068573174,0.33777240885830756,0.5171365928067054
0.41900755141389623,0.36885131397233684,0.6073313049500552,0.5840160538098348,0.3410747511076118,0.5126558470566417
0.420482073644102,0.36959187277921873,0.6079406819577209,0.5836593846359722,0.3406582772736418,0.5151609680781553
0.4167267821497002,0.3671459550580567,0.6059257009387015,0.5870993972297974,0.3446857022275915,0.5163728906231456
0.4203754954160037,0.3731069756007775,0.6108248321743128,0.5778292379424237,0.3338866282211221,0.5124583793449624
0.4161113319863418,0.3691194404697316,0.6075520063910016,0.5850066388439895,0.34223276749154197,0.5187552594754206
0.42198685822027987,0.37500361711723584,0.6123753890525286,0.5752392383183316,0.33090018130105425,0.5143530197148283
0.42546395944534937,0.37820312693659774,0.6149822167645157,0.5692841961738584,0.32408449601331607,0.5174236462761012
0.42009901548696593,0.3726858078650905,0.6104799815432858,0.5786220364357221,0.3348034610490221,0.5195317179711043
0.4206334865241741,0.36929353844472634,0.6076952677491625,0.5846686798552753,0.34183746520371033,0.5169194439277491
0.41532851439190677,0.36715462566185947,0.6059328557372173,0.5880100054144732,0.34575576646752887,0.516356052291142
0.4191684309189275,0.371595224059731,0.6095861088146046,0.580540562809503,0.3370273450671744,0.5188514056222293
0.41822414726050566,0.3679746952202549,0.6066091783185076,0.5855960866463211,0.34292277669548565,0.5229843778571872
0.4190365595349478,0.36828999956631864,0.6068690135163589,0.5862332487657393,0.34366942195843325,0.5229683413505171
0.41959088172867337,0.3723888543045426,0.6102367198919961,0.5783848513428516,0.3345290362628925,0.5109401595225722
0.42004770494686655,0.3680894375115883,0.606703747731616,0.5857768885234506,0.343134563128215,0.5183952399006757
0.41575320026974577,0.3662492007425346,0.6051852615047185,0.5882016955760578,0.3459812346785494,0.5306660832318247
0.4171467020836826,0.3667211038303256,0.6055750191597451,0.5878076670243252,0.34551785341257996,0.5258390218308979
0.418057741286426,0.3682002942502158,0.6067951007137548,0.585257474692477,0.34252631168341535,0.5228514935314613
0.41941270249847395,0.3708824737992574,0.6090012100146086,0.5813396643854792,0.33795580538782166,0.5206898453255375
0.41610399039418283,0.36514706238713124,0.6042739961202461,0.5911817822074955,0.34949589961403066,0.5288678805816163
0.4160654467416517,0.3669997148633122,0.6058050138974687,0.5872405185654838,0.3448514266450583,0.5311269870121673
0.41548320235913544,0.36532375764139363,0.604420183019556,0.590484005045863,0.3486713602150027,0.5267259135429693
0.4169579064708864,0.365278262026452,0.6043825460968012,0.5900466176274566,0.34815501097360196,0.5118742131428963
0.4177055450966928,0.3707340084149065,0.6088793052936735,0.581295634650106,0.33790461486326956,0.5204046141864453
0.4216060624607633,0.373068355341718,0.6107932181530161,0.5778635158189,0.3339262429145802,0.519269302407411
0.4167985843670472,0.366580111439362,0.6054585959744581,0.5879432353059645,0.34567724794204474,0.5295159012375145
0.4164093514532828,0.36480521809185185,0.6039910745134003,0.5911065474867564,0.349406950481713,0.5287704952502011
0.41907887210535427,0.3691982189581235,0.6076168356440789,0.5831858371189454,0.34010572061612515,0.5128942078603298
