number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
30,0.534548652139971,0.3830874239806999,2025-01-07 12:28:10.252463,2025-01-07 12:28:58.965341,0 days 00:00:48.712878,32,0.30000000000000004,0.10905553100601258,0.00039328669059317435,2,1500,COMPLETE
31,0.544671412825947,0.37145009419848585,2025-01-07 12:28:58.970468,2025-01-07 12:29:47.869603,0 days 00:00:48.899135,32,0.2,0.13110015275700027,0.0003308890892871375,2,1100,COMPLETE
32,0.5398495031636805,0.36968955674186477,2025-01-07 12:29:47.875193,2025-01-07 12:30:49.252801,0 days 00:01:01.377608,16,0.1,0.03826029527738753,0.0004850675505763791,1,2000,COMPLETE
33,0.5407440829736933,0.37040367231550275,2025-01-07 12:30:49.253523,2025-01-07 12:31:54.876882,0 days 00:01:05.623359,32,0.25,0.15777843096727617,0.00028167796066130705,2,700,COMPLETE
34,0.5330778516739139,0.3703349806210279,2025-01-07 12:31:54.882464,2025-01-07 12:33:00.187124,0 days 00:01:05.304660,32,0.15000000000000002,0.18461767473801566,0.00035133113462135505,3,800,COMPLETE
35,0.40675182369582413,0.44683517057310773,2025-01-07 12:33:00.188029,2025-01-07 12:33:21.605665,0 days 00:00:21.417636,128,0.35000000000000003,0.2418367515360213,0.00025962781113775366,1,1200,COMPLETE
36,0.5419601827242235,0.3713645006359646,2025-01-07 12:33:21.609150,2025-01-07 12:34:39.991678,0 days 00:01:18.382528,32,0.1,0.1981767488425146,0.0004245645066753672,3,500,COMPLETE
37,0.3506313139558405,0.4678747551242636,2025-01-07 12:34:39.995116,2025-01-07 12:35:14.727221,0 days 00:00:34.732105,16,0.5,0.399251788132551,0.0006344327500425537,2,800,COMPLETE
38,0.38718429979789576,0.4427651535371429,2025-01-07 12:35:14.732249,2025-01-07 12:35:50.392406,0 days 00:00:35.660157,128,0.30000000000000004,0.32443392044591113,0.00036264597833629293,2,1800,COMPLETE
39,0.5314994325022495,0.3804588261767504,2025-01-07 12:35:50.393263,2025-01-07 12:36:28.611775,0 days 00:00:38.218512,32,0.2,0.3524133650195678,0.0005303466276769133,1,600,COMPLETE
40,0.5353327165619148,0.3786753065019459,2025-01-07 12:36:28.615684,2025-01-07 12:37:08.716794,0 days 00:00:40.101110,128,0.05,0.001841482288402474,0.0001364329587517625,3,1000,COMPLETE
41,0.5270090487483226,0.3785353474930503,2025-01-07 12:37:08.717617,2025-01-07 12:38:04.792044,0 days 00:00:56.074427,16,0.15000000000000002,0.07352749054636873,0.00047710937369804183,2,1900,COMPLETE
42,0.5520361871049488,0.36506658564269695,2025-01-07 12:38:04.792976,2025-01-07 12:38:48.371926,0 days 00:00:43.578950,32,0.1,0.040469811445342035,0.0007085779013986955,1,2000,COMPLETE
43,0.5471137671775453,0.3726423777277127,2025-01-07 12:38:48.375520,2025-01-07 12:39:26.610748,0 days 00:00:38.235228,32,0.0,0.04364437118326727,0.0007457752004633681,1,1700,COMPLETE
44,0.5274003609459663,0.3799306957782448,2025-01-07 12:39:26.614475,2025-01-07 12:40:03.466336,0 days 00:00:36.851861,64,0.05,0.02704188798168102,0.0007185614828075892,1,1900,COMPLETE
45,0.5222849148792067,0.3862829581194518,2025-01-07 12:40:03.468841,2025-01-07 12:40:45.500480,0 days 00:00:42.031639,128,0.1,0.053526574260942414,0.0008021711864895104,1,2000,COMPLETE
46,0.5166759244636535,0.3998186089110599,2025-01-07 12:40:45.504760,2025-01-07 12:41:18.293627,0 days 00:00:32.788867,32,0.45,0.01217832110463335,0.0006357524785419328,1,100,COMPLETE
47,0.5422441514612599,0.3721006244608792,2025-01-07 12:41:18.296728,2025-01-07 12:41:58.443574,0 days 00:00:40.146846,64,0.0,0.08743102140611994,0.0008741428878694546,1,1400,COMPLETE
48,0.5461393323156349,0.3665998740409453,2025-01-07 12:41:58.447134,2025-01-07 12:43:31.047135,0 days 00:01:32.600001,16,0.05,0.05620736428168756,0.0005883387934148032,1,1700,COMPLETE
49,0.5383840067138923,0.37249477706137163,2025-01-07 12:43:31.048607,2025-01-07 12:44:39.292764,0 days 00:01:08.244157,16,0.05,0.06010780413331689,0.0006217924276780566,1,1800,COMPLETE
50,0.5285045422990431,0.37467155001304525,2025-01-07 12:44:39.293817,2025-01-07 12:45:19.509888,0 days 00:00:40.216071,32,0.1,0.025474887883541276,0.0001035485980169207,1,2000,COMPLETE
51,0.5225414248514672,0.3856951662260851,2025-01-07 12:45:19.513872,2025-01-07 12:46:08.085219,0 days 00:00:48.571347,32,0.45,0.040874127684333,0.0006845142061066259,1,1900,COMPLETE
52,0.5451765651184222,0.36937138885960036,2025-01-07 12:46:08.086204,2025-01-07 12:46:45.345649,0 days 00:00:37.259445,64,0.1,0.06050030414194396,0.0005731939302532526,1,1700,COMPLETE
53,0.5466344513272969,0.3728000375269044,2025-01-07 12:46:45.349402,2025-01-07 12:47:36.171849,0 days 00:00:50.822447,32,0.1,0.01825893935115945,0.0005928192307792491,1,1700,COMPLETE
54,0.5237554974587229,0.378585470718234,2025-01-07 12:47:36.173052,2025-01-07 12:48:18.047367,0 days 00:00:41.874315,64,0.05,0.09460412829119244,0.0007906273228617643,1,1700,COMPLETE
55,0.46816535100440726,0.40525566643312255,2025-01-07 12:48:18.051097,2025-01-07 12:49:02.560755,0 days 00:00:44.509658,128,0.4,0.06227791679926564,0.0008511150245079312,1,2000,COMPLETE
56,0.5485421211915105,0.367162799209801,2025-01-07 12:49:02.563121,2025-01-07 12:49:54.496123,0 days 00:00:51.933002,32,0.1,0.07629795393856614,0.0006725720987151425,1,1600,COMPLETE
57,0.5402674027446859,0.3707974064531292,2025-01-07 12:49:54.499940,2025-01-07 12:50:47.518177,0 days 00:00:53.018237,32,0.15000000000000002,0.08500494934434291,0.0006753627074168205,1,1800,COMPLETE
58,0.5102292479937672,0.3886927484813144,2025-01-07 12:50:47.521844,2025-01-07 12:51:46.056644,0 days 00:00:58.534800,16,0.35000000000000003,0.14526044297235347,0.0009719874881265806,1,1600,COMPLETE
59,0.5022237462287986,0.38681573766210453,2025-01-07 12:51:46.060611,2025-01-07 12:52:27.601934,0 days 00:00:41.541323,32,0.0,0.002534302599408955,0.00020342752719550413,1,1900,COMPLETE
60,0.5382792028143202,0.3709716675818834,2025-01-07 12:52:27.606064,2025-01-07 12:53:18.567348,0 days 00:00:50.961284,32,0.15000000000000002,0.032013001635160826,0.0005219064058873705,1,1500,COMPLETE
61,0.5440951610751749,0.36752688385716337,2025-01-07 12:53:18.571003,2025-01-07 12:54:02.342891,0 days 00:00:43.771888,32,0.1,0.05735983055081282,0.0005994495434323001,1,1900,COMPLETE
62,0.5481115039339868,0.3684116615987805,2025-01-07 12:54:02.346470,2025-01-07 12:54:52.075803,0 days 00:00:49.729333,32,0.1,0.11103790642515417,0.0006832883870191476,1,2000,COMPLETE
63,0.4866240041448927,0.3953614592741305,2025-01-07 12:54:52.079244,2025-01-07 12:55:25.965108,0 days 00:00:33.885864,128,0.05,0.11784600167756637,0.0007274178592152439,1,300,COMPLETE
64,0.5323666724067616,0.38197491584060167,2025-01-07 12:55:25.968043,2025-01-07 12:56:13.496440,0 days 00:00:47.528397,32,0.4,0.018337690751186242,0.00016485894980451058,1,1500,COMPLETE
65,0.5249087757751728,0.3832268429761182,2025-01-07 12:56:13.500044,2025-01-07 12:57:20.816715,0 days 00:01:07.316671,16,0.15000000000000002,0.0748876709650389,0.0006713033341040833,3,1800,COMPLETE
