number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
33,0.497029071724217,0.39485005690932284,2024-12-11 15:51:49.131366,2024-12-11 15:52:11.285013,0 days 00:00:22.153647,32,0.1,0.00014217717753434018,1,500,COMPLETE
34,0.49615403739854685,0.4032655136718998,2024-12-11 15:52:11.287799,2024-12-11 15:52:40.078265,0 days 00:00:28.790466,64,0.45,0.00018647503460921547,3,1000,COMPLETE
35,0.5111347403729218,0.3938408046671833,2024-12-11 15:52:40.084347,2024-12-11 15:53:09.548516,0 days 00:00:29.464169,16,0.4,0.0003293256157294813,1,100,COMPLETE
36,0.5251447135797719,0.373916355864914,2024-12-11 15:53:09.549314,2024-12-11 15:53:41.541633,0 days 00:00:31.992319,32,0.2,0.00012987365873627112,2,800,COMPLETE
37,0.5451011023503711,0.3705005805728569,2024-12-11 15:53:41.543770,2024-12-11 15:54:08.700705,0 days 00:00:27.156935,64,0.05,0.0004965012788607497,2,500,COMPLETE
38,0.5474946269101998,0.3686545814694061,2024-12-11 15:54:08.705239,2024-12-11 15:54:41.017830,0 days 00:00:32.312591,64,0.05,0.0004822102552974659,2,600,COMPLETE
39,0.5415519648124592,0.3719616430282888,2024-12-11 15:54:41.023862,2024-12-11 15:55:14.392429,0 days 00:00:33.368567,64,0.05,0.0004678789408621779,2,600,COMPLETE
40,0.5313452306815754,0.378203908282024,2024-12-11 15:55:14.394670,2024-12-11 15:55:35.734917,0 days 00:00:21.340247,64,0.05,0.0005051306912720624,2,500,COMPLETE
41,0.5408221061960571,0.3707753261376909,2024-12-11 15:55:35.736971,2024-12-11 15:56:08.065638,0 days 00:00:32.328667,64,0.05,0.0005720538799291468,2,700,COMPLETE
42,0.5294821355989712,0.3783028987846556,2024-12-11 15:56:08.066402,2024-12-11 15:56:42.281182,0 days 00:00:34.214780,64,0.1,0.0006875573301481727,2,1700,COMPLETE
43,0.5342052687116567,0.3800173352233,2024-12-11 15:56:42.287358,2024-12-11 15:57:18.044819,0 days 00:00:35.757461,64,0.05,0.00038268325807460003,2,2000,COMPLETE
44,0.46949891788338405,0.40109853058683986,2024-12-11 15:57:18.051005,2024-12-11 15:57:35.063522,0 days 00:00:17.012517,64,0.0,0.0003903680300533604,1,700,COMPLETE
45,0.5420410056113395,0.37063786856967135,2024-12-11 15:57:35.066717,2024-12-11 15:58:04.985604,0 days 00:00:29.918887,64,0.15000000000000002,0.000633557854481665,2,300,COMPLETE
46,0.5261973016285915,0.38725905946699923,2024-12-11 15:58:04.991625,2024-12-11 15:58:27.786681,0 days 00:00:22.795056,64,0.15000000000000002,0.0007401564106782728,1,300,COMPLETE
47,0.5405861265730495,0.3754100323051113,2024-12-11 15:58:27.790188,2024-12-11 15:59:05.458477,0 days 00:00:37.668289,64,0.1,0.0004323976262587458,2,900,COMPLETE
