number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
33,0.507943455395502,0.3896182793181553,2025-01-30 02:49:37.472329,2025-01-30 02:58:18.899555,0 days 00:08:41.427226,256,0.75,0.0008157515886792211,28,2,COMPLETE
34,0.47551815012130916,0.3990904844911439,2025-01-30 02:58:18.903546,2025-01-30 03:09:46.603392,0 days 00:11:27.699846,256,0.75,0.000778012593419747,31,1,COMPLETE
35,0.15448803985966614,0.523813373974382,2025-01-30 03:09:46.606240,2025-01-30 03:23:38.180501,0 days 00:13:51.574261,256,0.85,0.0005248926274381438,49,5,COMPLETE
36,0.4010721145328572,0.42788651808977785,2025-01-30 03:23:38.182728,2025-01-30 03:55:37.560594,0 days 00:31:59.377866,256,0.7000000000000001,0.0004225703821401934,83,4,COMPLETE
37,0.4610057273632422,0.40784970086634836,2025-01-30 03:55:37.563309,2025-01-30 04:01:32.409707,0 days 00:05:54.846398,128,0.95,0.0008522108892624583,40,1,COMPLETE
38,0.4912396118513705,0.39767637417568646,2025-01-30 04:01:32.411601,2025-01-30 04:17:03.130197,0 days 00:15:30.718596,256,0.8,0.0008215317115578665,67,3,COMPLETE
39,0.4518658334846635,0.4138304923697655,2025-01-30 04:17:03.132907,2025-01-30 04:25:24.740405,0 days 00:08:21.607498,128,0.35,0.0004910063956694395,30,2,COMPLETE
40,0.41846238789448514,0.41435090858239104,2025-01-30 04:25:24.742217,2025-01-30 04:46:19.423211,0 days 00:20:54.680994,256,0.65,0.0007010694944763853,58,4,COMPLETE
41,0.4769293496957528,0.40151142906163007,2025-01-30 04:46:19.426390,2025-01-30 05:01:55.795192,0 days 00:15:36.368802,256,0.45000000000000007,0.000584569665818544,48,2,COMPLETE
42,0.4909262339362887,0.3977320103606007,2025-01-30 05:01:55.798052,2025-01-30 05:28:37.210039,0 days 00:26:41.411987,256,0.6,0.0003642953559449345,73,2,COMPLETE
43,0.34270479720310437,0.4493781693960095,2025-01-30 05:28:37.212278,2025-01-30 05:35:55.530980,0 days 00:07:18.318702,128,0.55,0.00010284195823119651,8,2,COMPLETE
44,0.08293861529101977,0.6584469679710979,2025-01-30 05:35:55.532345,2025-01-30 05:50:16.997170,0 days 00:14:21.464825,256,0.7000000000000001,0.00013290735396888944,62,5,COMPLETE
45,0.4502157382444736,0.41471310886458806,2025-01-30 05:50:16.999688,2025-01-30 06:57:00.893463,0 days 01:06:43.893775,256,0.2,0.0006490108692419637,100,1,COMPLETE
46,0.46899109989472654,0.40796934575160393,2025-01-30 06:57:00.896976,2025-01-30 07:02:21.614775,0 days 00:05:20.717799,128,0.75,0.0006180575941257068,25,2,COMPLETE
47,0.46941412556920736,0.40725879263316334,2025-01-30 07:02:21.618334,2025-01-30 07:09:49.108382,0 days 00:07:27.490048,256,0.45000000000000007,0.0009917261328472747,35,2,COMPLETE
48,0.4118538355212261,0.42548705134986403,2025-01-30 07:09:49.112207,2025-01-30 07:28:54.873119,0 days 00:19:05.760912,256,0.6,0.0007289304063478761,52,4,COMPLETE
49,0.33867082790753067,0.4514965845321018,2025-01-30 07:28:54.877750,2025-01-30 08:04:41.840022,0 days 00:35:46.962272,128,0.9,0.0005287381805361684,83,5,COMPLETE
